DATE,UPDATED_AT,STRESS_SCORE,SLEEP_POINTS,MAX_SLEEP_POINTS,RESPONSIVENESS_POINTS,MAX_RESPONSIVENESS_POINTS,EXERTION_POINTS,MAX_EXERTION_POINTS,STATUS,CALCULATION_FAILED
2026-05-07T00:00:00,2026-05-09T15:22:37.487,0,0,0,0,0,0,0,NO_DATA,true
2026-05-09T00:00:00,2026-05-09T15:22:37.774,0,0,0,0,0,0,0,NO_DATA,true
2026-05-10T00:00:00,2026-05-10T14:05:08.405,82,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-11T00:00:00,2026-05-15T00:12:48.175,0,0,0,0,0,0,0,NO_DATA,true
2026-05-12T00:00:00,2026-05-15T00:12:47.562,0,0,0,0,0,0,0,NO_DATA,true
2026-05-13T00:00:00,2026-05-15T00:12:47.714,72,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-14T00:00:00,2026-05-15T00:12:47.646,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-15T00:00:00,2026-05-21T07:52:17.599,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-19T00:00:00,2026-05-21T07:52:17.69,0,0,0,0,0,0,0,NO_DATA,true
2026-05-20T00:00:00,2026-05-21T07:52:21.867,68,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-21T00:00:00,2026-05-21T07:52:17.925,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-22T00:00:00,2026-05-22T05:54:55.67,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-23T00:00:00,2026-05-25T19:37:49.504,70,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-24T00:00:00,2026-05-25T19:37:51.549,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-25T00:00:00,2026-05-25T19:37:50.18,74,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-26T00:00:00,2026-05-27T14:45:07.804,75,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-27T00:00:00,2026-05-27T14:45:07.64,0,0,0,0,0,0,0,NO_DATA,true
2026-05-28T00:00:00,2026-05-28T13:40:35.901,73,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-29T00:00:00,2026-05-29T07:17:29.034,84,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-05-30T00:00:00,2026-06-02T14:41:42.536,0,0,0,0,0,0,0,NO_DATA,true
2026-05-31T00:00:00,2026-06-02T14:41:41.957,76,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-06-01T00:00:00,2026-06-02T14:41:42.325,77,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-06-02T00:00:00,2026-06-02T14:41:42.573,78,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-06-03T00:00:00,2026-06-04T11:15:45.882,79,0,0,0,0,0,0,READY_NOT_PREMIUM,false
2026-06-04T00:00:00,2026-06-04T11:16:11.58,64,0,0,0,0,0,0,READY_NOT_PREMIUM,false
