timestamp,bucket_values
2026-05-25T06:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.007, 0.016, 0.032, 0.047, 0.068, 0.087, 0.243, 0.323, 0.126, 0.033, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-26T04:34:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.003, 0.007, 0.012, 0.055, 0.116, 0.136, 0.189, 0.265, 0.168, 0.04, 0.005, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-27T07:49:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.007, 0.021, 0.097, 0.284, 0.248, 0.165, 0.1, 0.049, 0.013, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
2026-05-28T09:55:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.007, 0.03, 0.048, 0.103, 0.194, 0.307, 0.199, 0.077, 0.023, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-29T07:42:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.001, 0.001, 0.002, 0.004, 0.01, 0.036, 0.095, 0.173, 0.237, 0.205, 0.135, 0.073, 0.023, 0.004, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-30T09:09:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.002, 0.005, 0.008, 0.03, 0.09, 0.183, 0.295, 0.232, 0.107, 0.035, 0.006, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-31T10:33:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.002, 0.002, 0.004, 0.02, 0.156, 0.181, 0.121, 0.183, 0.218, 0.086, 0.016, 0.005, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-01T10:14:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.003, 0.005, 0.008, 0.032, 0.086, 0.176, 0.201, 0.177, 0.157, 0.105, 0.039, 0.007, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-02T12:02:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.001, 0.002, 0.006, 0.011, 0.052, 0.187, 0.383, 0.249, 0.084, 0.019, 0.004, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-03T10:57:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.002, 0.002, 0.004, 0.013, 0.032, 0.051, 0.078, 0.239, 0.261, 0.206, 0.086, 0.021, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-04T06:57:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.003, 0.002, 0.006, 0.01, 0.016, 0.036, 0.107, 0.27, 0.313, 0.164, 0.05, 0.015, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-06-05T08:00:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.004, 0.008, 0.026, 0.101, 0.286, 0.23, 0.16, 0.133, 0.039, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
