timestamp,rmssd,coverage,low_frequency,high_frequency
2026-06-01T02:15:00,27.381,0.966,180.595,167.401
2026-06-01T02:20:00,26.993,0.729,677.755,82.816
2026-06-01T02:25:00,17.752,0.907,125.298,65.749
2026-06-01T02:30:00,20.537,0.955,306.66,101.702
2026-06-01T02:35:00,30.72,0.885,830.106,151.428
2026-06-01T02:40:00,31.938,0.973,1321.537,208.752
2026-06-01T02:45:00,30.391,0.996,1273.176,167.708
2026-06-01T02:50:00,24.519,1.006,726.221,105.284
2026-06-01T02:55:00,30.576,1.002,218.291,189.08
2026-06-01T03:00:00,30.876,1.004,144.65,199.211
2026-06-01T03:05:00,34.541,1.004,269.475,250.054
2026-06-01T03:10:00,41.234,1.005,391.04,279.943
2026-06-01T03:15:00,35.771,1.002,273.826,243.601
2026-06-01T03:20:00,36.166,0.936,3098.581,221.59
2026-06-01T03:25:00,24.884,1.003,222.908,101.826
2026-06-01T03:30:00,22.858,0.992,732.868,112.721
2026-06-01T03:35:00,27.114,1.002,923.543,140.99
2026-06-01T03:40:00,24.9,0.992,301.774,113.301
2026-06-01T03:45:00,28.323,1.003,466.313,170.465
2026-06-01T03:50:00,26.278,1.005,234.209,136.518
2026-06-01T03:55:00,27.309,1.004,256.421,142.801
2026-06-01T04:00:00,33.001,1.003,544.43,211.962
2026-06-01T04:05:00,30.711,1.003,404.222,185.314
2026-06-01T04:10:00,28.493,1.006,176.461,175.352
2026-06-01T04:15:00,32.638,1.003,646.697,226.701
2026-06-01T04:20:00,31.55,0.96,1945.871,159.601
2026-06-01T04:25:00,37.889,0.965,864.2,275.792
2026-06-01T04:30:00,33.691,1.004,243.465,197.439
2026-06-01T04:35:00,32.185,1.005,285.2,190.141
2026-06-01T04:40:00,34.448,1.004,493.446,227.503
2026-06-01T04:45:00,36.639,1.005,752.24,255.348
2026-06-01T04:50:00,30.157,1.004,467.618,140.201
2026-06-01T04:55:00,38.111,1.001,616.05,334.628
2026-06-01T05:00:00,35.555,1.005,589.049,264.51
2026-06-01T05:05:00,42.4,1.004,485.541,318.227
2026-06-01T05:10:00,40.208,0.935,662.841,296.107
2026-06-01T05:15:00,43.715,0.955,1552.224,288.011
2026-06-01T05:20:00,44.817,1.003,887.811,469.408
2026-06-01T05:25:00,45.531,0.957,1037.514,362.992
2026-06-01T05:30:00,46.758,0.991,987.237,427.582
2026-06-01T05:35:00,45.843,0.988,2804.265,551.509
2026-06-01T05:40:00,49.307,0.958,767.941,470.816
2026-06-01T05:45:00,56.142,0.965,518.452,584.885
2026-06-01T05:50:00,50.946,0.989,1510.155,365.91
2026-06-01T05:55:00,46.918,0.975,803.304,402.929
2026-06-01T06:00:00,50.346,1.004,1246.029,537.633
2026-06-01T06:05:00,46.195,1.003,437.945,419.073
2026-06-01T06:10:00,41.49,1.005,261.632,260.489
2026-06-01T06:15:00,41.166,1.003,635.979,283.331
2026-06-01T06:20:00,50.918,0.959,2299.6,536.945
2026-06-01T06:25:00,49.381,1.008,340.522,434.627
2026-06-01T06:30:00,52.818,1.005,813.86,506.015
2026-06-01T06:35:00,39.728,1.003,489.467,214.851
2026-06-01T06:40:00,29.954,1.002,115.065,181.89
2026-06-01T06:45:00,35.688,1.004,134.608,203.942
2026-06-01T06:50:00,30.534,1.005,101.467,143.495
2026-06-01T06:55:00,31.516,1.006,86.367,154.533
2026-06-01T07:00:00,68.748,0.903,38834.021,1932.424
2026-06-01T07:05:00,60.011,0.968,3818.919,490.287
2026-06-01T07:10:00,54.206,0.947,1151.315,430.154
2026-06-01T07:15:00,62.891,0.93,1611.358,557.535
2026-06-01T07:20:00,61.577,0.975,3333.688,629.987
2026-06-01T07:25:00,66.792,0.951,4165.76,1638.701
2026-06-01T07:30:00,69.841,0.919,1501.81,523.781
2026-06-01T07:35:00,78.304,0.885,16174.994,2762.043
2026-06-01T07:40:00,70.823,0.929,2604.305,757.972
2026-06-01T07:45:00,64.499,0.948,1093.525,583.545
2026-06-01T08:05:00,27.433,1.003,597.485,169.951
2026-06-01T08:10:00,30.189,1.003,1209.27,286.291
2026-06-01T08:15:00,28.741,1.002,608.179,156.104
2026-06-01T08:20:00,31.378,0.956,4342.823,238.416
2026-06-01T08:25:00,28.508,1.006,96.125,157.3
2026-06-01T08:30:00,28.635,1.005,412.74,155.702
2026-06-01T08:35:00,38.211,0.878,437.129,139.739
2026-06-01T08:40:00,73.972,0.863,4887.851,483.898
2026-06-01T08:50:00,35.941,0.784,1246.428,314.12
2026-06-01T08:55:00,37.963,0.94,733.356,244.007
2026-06-01T09:00:00,56.671,0.871,2797.22,397.069
2026-06-01T09:05:00,70.571,0.896,6677.462,626.134
2026-06-01T09:10:00,49.342,0.988,2693.028,378.611
2026-06-01T09:15:00,62.479,0.976,2929.121,827.455
2026-06-01T09:20:00,60.878,0.935,2511.05,784.384
2026-06-01T09:25:00,58.621,0.982,2049.052,704.046
2026-06-01T09:30:00,61.988,0.985,720.429,680.244
2026-06-01T09:35:00,51.941,0.865,2371.901,393.138
2026-06-01T09:40:00,48.341,0.969,3216.276,442.855
2026-06-01T09:45:00,44.073,1.004,1327.759,430.265
2026-06-01T09:50:00,77.202,0.904,3258.542,831.611
2026-06-01T09:55:00,53.25,0.969,1085.237,360.472
2026-06-01T10:00:00,61.384,0.759,4205.901,270.921
2026-06-01T10:05:00,40.371,0.844,1847.194,288.315
2026-06-01T10:10:00,29.805,0.782,1090.703,173.139
