timestamp,oxygen saturation percentage,data source
2026-06-01T01:02:04Z,50.0,Versa 4
2026-06-01T01:03:04Z,50.0,Versa 4
2026-06-01T01:04:04Z,99.5,Versa 4
2026-06-01T01:05:04Z,99.1,Versa 4
2026-06-01T01:06:04Z,98.6,Versa 4
2026-06-01T01:19:33Z,50.0,Versa 4
2026-06-01T01:20:33Z,95.9,Versa 4
2026-06-01T01:21:33Z,95.6,Versa 4
2026-06-01T01:22:33Z,95.4,Versa 4
2026-06-01T01:23:33Z,94.9,Versa 4
2026-06-01T01:24:33Z,94.4,Versa 4
2026-06-01T01:25:33Z,94.0,Versa 4
2026-06-01T01:26:33Z,93.6,Versa 4
2026-06-01T01:27:33Z,93.4,Versa 4
2026-06-01T01:28:33Z,93.2,Versa 4
2026-06-01T01:29:33Z,92.9,Versa 4
2026-06-01T01:30:33Z,93.0,Versa 4
2026-06-01T01:31:33Z,93.2,Versa 4
2026-06-01T01:32:33Z,93.2,Versa 4
2026-06-01T01:33:33Z,93.2,Versa 4
2026-06-01T01:34:33Z,93.2,Versa 4
2026-06-01T01:35:33Z,93.3,Versa 4
2026-06-01T01:36:33Z,93.2,Versa 4
2026-06-01T01:37:33Z,93.0,Versa 4
2026-06-01T01:38:33Z,92.6,Versa 4
2026-06-01T01:39:33Z,92.4,Versa 4
2026-06-01T01:40:33Z,91.9,Versa 4
2026-06-01T01:41:33Z,91.5,Versa 4
2026-06-01T01:42:33Z,91.7,Versa 4
2026-06-01T01:43:33Z,91.8,Versa 4
2026-06-01T01:44:33Z,92.1,Versa 4
2026-06-01T01:45:33Z,92.1,Versa 4
2026-06-01T01:46:33Z,92.2,Versa 4
2026-06-01T01:47:33Z,92.0,Versa 4
2026-06-01T01:48:33Z,91.8,Versa 4
2026-06-01T01:49:33Z,91.8,Versa 4
2026-06-01T01:50:33Z,50.0,Versa 4
2026-06-01T01:51:33Z,50.0,Versa 4
2026-06-01T01:52:33Z,92.7,Versa 4
2026-06-01T01:53:33Z,94.3,Versa 4
