start time,end time,data source
2026-05-14T00:18:00Z,2026-05-14T01:05:00Z,Fitbit App
2026-05-14T01:07:00Z,2026-05-14T01:56:00Z,Fitbit App
2026-05-14T02:02:00Z,2026-05-14T03:45:00Z,Fitbit App
2026-05-14T11:24:00Z,2026-05-14T12:25:00Z,Fitbit App
2026-05-14T13:38:00Z,2026-05-14T13:58:00Z,Fitbit App
2026-05-14T15:12:00Z,2026-05-14T15:25:00Z,Fitbit App
2026-05-14T15:27:00Z,2026-05-14T15:42:00Z,Fitbit App
2026-05-14T15:43:00Z,2026-05-14T16:01:00Z,Fitbit App
2026-05-14T18:40:00Z,2026-05-14T19:01:00Z,Fitbit App
2026-05-14T19:44:00Z,2026-05-14T19:57:00Z,Fitbit App
2026-05-14T19:59:00Z,2026-05-14T20:40:00Z,Fitbit App
2026-05-14T20:58:00Z,2026-05-14T21:11:00Z,Fitbit App
2026-05-14T21:27:00Z,2026-05-14T21:39:00Z,Fitbit App
2026-05-14T21:42:00Z,2026-05-14T22:00:00Z,Fitbit App
2026-05-14T22:00:00Z,2026-05-14T23:33:00Z,Fitbit App
