timestamp,distance,data source
2026-05-07T15:24:00Z,17.80,Versa 4
2026-05-07T15:29:00Z,13.50,Versa 4
2026-05-07T15:30:00Z,5.00,Versa 4
2026-05-07T15:31:00Z,14.90,Versa 4
2026-05-07T15:32:00Z,13.50,Versa 4
2026-05-07T15:51:00Z,6.40,Versa 4
2026-05-07T15:55:00Z,19.20,Versa 4
2026-05-07T15:57:00Z,52.80,Versa 4
2026-05-07T15:59:00Z,5.00,Versa 4
2026-05-07T16:18:00Z,13.50,Versa 4
2026-05-07T16:23:00Z,6.40,Versa 4
2026-05-07T16:24:00Z,15.70,Versa 4
2026-05-07T16:32:00Z,3.50,Versa 4
2026-05-07T16:33:00Z,9.90,Versa 4
2026-05-07T16:36:00Z,5.70,Versa 4
2026-05-07T16:42:00Z,2.80,Versa 4
2026-05-07T16:43:00Z,5.70,Versa 4
2026-05-07T16:45:00Z,7.10,Versa 4
2026-05-07T16:48:00Z,6.40,Versa 4
2026-05-07T16:49:00Z,5.00,Versa 4
2026-05-07T16:50:00Z,6.40,Versa 4
2026-05-07T16:52:00Z,2.80,Versa 4
2026-05-07T16:54:00Z,7.10,Versa 4
2026-05-07T17:07:00Z,42.80,Versa 4
2026-05-07T17:08:00Z,17.10,Versa 4
2026-05-07T17:21:00Z,5.00,Versa 4
2026-05-07T17:25:00Z,23.50,Versa 4
2026-05-07T17:30:00Z,24.20,Versa 4
2026-05-07T17:31:00Z,4.20,Versa 4
2026-05-07T17:37:00Z,39.90,Versa 4
2026-05-07T17:41:00Z,24.20,Versa 4
2026-05-07T17:42:00Z,37.10,Versa 4
2026-05-07T17:43:00Z,9.90,Versa 4
2026-05-07T17:45:00Z,6.40,Versa 4
2026-05-07T18:11:00Z,8.50,Versa 4
2026-05-07T18:12:00Z,12.10,Versa 4
2026-05-07T18:14:00Z,16.40,Versa 4
2026-05-07T18:15:00Z,4.20,Versa 4
2026-05-07T18:30:00Z,2.80,Versa 4
2026-05-07T18:31:00Z,6.40,Versa 4
2026-05-07T19:00:00Z,11.40,Versa 4
2026-05-07T19:01:00Z,14.20,Versa 4
2026-05-07T19:03:00Z,5.00,Versa 4
2026-05-07T19:13:00Z,12.80,Versa 4
2026-05-07T19:16:00Z,5.00,Versa 4
2026-05-07T19:17:00Z,5.00,Versa 4
2026-05-07T19:21:00Z,9.90,Versa 4
2026-05-07T19:23:00Z,11.40,Versa 4
2026-05-07T19:24:00Z,5.70,Versa 4
2026-05-07T19:27:00Z,19.90,Versa 4
2026-05-07T19:33:00Z,5.70,Versa 4
2026-05-07T19:34:00Z,5.70,Versa 4
2026-05-07T19:38:00Z,29.90,Versa 4
2026-05-07T19:40:00Z,12.10,Versa 4
2026-05-07T19:41:00Z,25.60,Versa 4
2026-05-07T19:57:00Z,9.90,Versa 4
2026-05-07T20:11:00Z,5.70,Versa 4
2026-05-07T20:34:00Z,25.60,Versa 4
2026-05-07T20:35:00Z,38.50,Versa 4
2026-05-07T20:36:00Z,28.50,Versa 4
2026-05-07T20:37:00Z,42.10,Versa 4
2026-05-07T20:38:00Z,57.80,Versa 4
2026-05-07T20:39:00Z,29.20,Versa 4
2026-05-07T20:40:00Z,19.90,Versa 4
2026-05-07T20:43:00Z,24.20,Versa 4
2026-05-07T20:44:00Z,26.40,Versa 4
2026-05-07T20:45:00Z,14.90,Versa 4
2026-05-07T20:46:00Z,1.40,Versa 4
2026-05-07T20:52:00Z,7.10,Versa 4
2026-05-07T20:53:00Z,2.80,Versa 4
2026-05-07T20:54:00Z,7.80,Versa 4
2026-05-07T20:55:00Z,11.40,Versa 4
2026-05-07T20:56:00Z,4.20,Versa 4
2026-05-07T20:57:00Z,39.20,Versa 4
2026-05-07T20:59:00Z,5.00,Versa 4
2026-05-07T21:00:00Z,16.40,Versa 4
2026-05-07T21:11:00Z,2.80,Versa 4
2026-05-07T21:18:00Z,5.70,Versa 4
2026-05-07T21:22:00Z,4.20,Versa 4
2026-05-07T21:28:00Z,5.70,Versa 4
2026-05-07T21:31:00Z,4.20,Versa 4
2026-05-07T21:39:00Z,19.20,Versa 4
2026-05-07T21:47:00Z,2.80,Versa 4
2026-05-07T21:49:00Z,9.20,Versa 4
2026-05-07T22:03:00Z,6.40,Versa 4
2026-05-07T22:05:00Z,4.20,Versa 4
2026-05-07T22:40:00Z,4.90,Versa 4
2026-05-07T23:27:00Z,7.80,Versa 4
2026-05-07T23:28:00Z,1.40,Versa 4
2026-05-08T00:39:00Z,4.90,Versa 4
2026-05-08T02:11:00Z,2.80,Versa 4
2026-05-08T02:14:00Z,9.90,Versa 4
2026-05-08T02:17:00Z,13.50,Versa 4
2026-05-08T02:21:00Z,8.50,Versa 4
2026-05-08T02:22:00Z,4.20,Versa 4
2026-05-08T02:23:00Z,5.70,Versa 4
2026-05-08T02:32:00Z,10.00,Versa 4
2026-05-08T03:24:00Z,3.50,Versa 4
2026-05-08T03:29:00Z,8.50,Versa 4
2026-05-08T03:59:00Z,5.00,Versa 4
2026-05-08T05:20:00Z,3.50,Versa 4
2026-05-08T05:30:00Z,13.50,Versa 4
2026-05-08T05:41:00Z,22.80,Versa 4
2026-05-08T05:42:00Z,42.70,Versa 4
2026-05-08T05:43:00Z,12.80,Versa 4
2026-05-08T05:44:00Z,27.80,Versa 4
2026-05-08T05:45:00Z,37.80,Versa 4
2026-05-08T05:46:00Z,18.50,Versa 4
2026-05-08T05:48:00Z,27.80,Versa 4
2026-05-08T05:49:00Z,24.20,Versa 4
2026-05-08T05:52:00Z,4.20,Versa 4
2026-05-08T05:53:00Z,12.10,Versa 4
2026-05-08T06:00:00Z,4.90,Versa 4
2026-05-08T06:22:00Z,47.10,Versa 4
2026-05-08T06:23:00Z,73.50,Versa 4
2026-05-08T06:24:00Z,60.40,Versa 4
2026-05-08T06:25:00Z,75.40,Versa 4
2026-05-08T06:26:00Z,67.30,Versa 4
2026-05-08T06:27:00Z,80.80,Versa 4
2026-05-08T06:28:00Z,47.10,Versa 4
2026-05-08T07:05:00Z,6.40,Versa 4
2026-05-08T07:50:00Z,8.50,Versa 4
2026-05-08T08:20:00Z,6.40,Versa 4
2026-05-08T08:36:00Z,4.90,Versa 4
2026-05-08T08:37:00Z,9.20,Versa 4
2026-05-08T09:03:00Z,4.20,Versa 4
2026-05-08T09:38:00Z,2.80,Versa 4
2026-05-08T09:42:00Z,6.40,Versa 4
2026-05-08T09:53:00Z,5.70,Versa 4
2026-05-08T09:57:00Z,47.80,Versa 4
2026-05-08T09:58:00Z,14.90,Versa 4
2026-05-08T09:59:00Z,22.80,Versa 4
2026-05-08T10:00:00Z,37.10,Versa 4
2026-05-08T10:01:00Z,67.10,Versa 4
2026-05-08T10:02:00Z,4.90,Versa 4
2026-05-08T10:03:00Z,26.40,Versa 4
2026-05-08T10:23:00Z,4.90,Versa 4
2026-05-08T10:24:00Z,24.90,Versa 4
2026-05-08T10:33:00Z,7.80,Versa 4
2026-05-08T10:34:00Z,5.70,Versa 4
2026-05-08T10:40:00Z,7.80,Versa 4
2026-05-08T11:59:00Z,60.00,Versa 4
2026-05-08T12:00:00Z,77.30,Versa 4
2026-05-08T12:01:00Z,80.80,Versa 4
2026-05-08T12:02:00Z,82.30,Versa 4
2026-05-08T12:03:00Z,83.90,Versa 4
2026-05-08T12:04:00Z,40.90,Versa 4
2026-05-08T12:05:00Z,3.10,Versa 4
2026-05-08T12:12:00Z,4.20,Versa 4
