timestamp,workout,background,total,data source
2026-05-06T14:02:00Z,0.0,0.3427483266743611,0.3427483266743611,Versa 4
2026-05-06T14:03:00Z,0.0,0.3603234499227202,0.3603234499227202,Versa 4
2026-05-06T14:04:00Z,0.0,0.33016775061756765,0.33016775061756765,Versa 4
2026-05-06T14:05:00Z,0.0,0.32684749753549913,0.32684749753549913,Versa 4
2026-05-06T14:36:00Z,0.0,0.3590793775153269,0.3590793775153269,Versa 4
2026-05-06T14:37:00Z,0.0,0.36600178864739413,0.36600178864739413,Versa 4
2026-05-07T05:54:00Z,0.0,0.2314526592081028,0.2314526592081028,Versa 4
2026-05-07T06:25:00Z,0.0,0.2331078054672501,0.2331078054672501,Versa 4
2026-05-07T06:26:00Z,0.0,0.2697252972415725,0.2697252972415725,Versa 4
2026-05-07T06:27:00Z,0.0,0.273286149423794,0.273286149423794,Versa 4
2026-05-07T06:28:00Z,0.0,0.25520427990953815,0.25520427990953815,Versa 4
2026-05-07T06:29:00Z,0.0,0.2312751270255271,0.2312751270255271,Versa 4
2026-05-07T07:56:00Z,0.0,0.24699980948266906,0.24699980948266906,Versa 4
2026-05-07T09:38:00Z,0.0,0.22944303826143883,0.22944303826143883,Versa 4
2026-05-07T09:39:00Z,0.0,0.23194085633017425,0.23194085633017425,Versa 4
2026-05-07T09:40:00Z,0.0,0.34976325256379154,0.34976325256379154,Versa 4
2026-05-07T09:41:00Z,0.0,0.7138641466599286,0.7138641466599286,Versa 4
2026-05-07T09:42:00Z,0.0,0.7217406371999607,0.7217406371999607,Versa 4
2026-05-07T09:43:00Z,0.0,0.23817190177661526,0.23817190177661526,Versa 4
2026-05-07T10:04:00Z,0.0,0.2870360146928341,0.2870360146928341,Versa 4
2026-05-07T10:05:00Z,0.0,0.3212955044254515,0.3212955044254515,Versa 4
2026-05-07T10:06:00Z,0.0,0.3246462922109326,0.3246462922109326,Versa 4
2026-05-07T10:07:00Z,0.0,0.33388755182901025,0.33388755182901025,Versa 4
