timestamp,gain,data source
2026-05-06T14:54:00Z,3048,Versa 4
2026-05-07T06:29:00Z,6096,Versa 4
2026-05-07T10:05:00Z,3048,Versa 4
2026-05-07T14:01:00Z,3048,Versa 4
2026-05-07T14:02:00Z,6096,Versa 4
2026-05-07T14:03:00Z,6096,Versa 4
2026-05-07T14:04:00Z,6096,Versa 4
2026-05-07T14:05:00Z,6096,Versa 4
2026-05-07T14:06:00Z,3048,Versa 4
2026-05-07T14:07:00Z,3048,Versa 4
2026-05-07T14:08:00Z,3048,Versa 4
2026-05-07T14:09:00Z,3048,Versa 4
2026-05-07T14:10:00Z,6096,Versa 4
2026-05-07T14:11:00Z,3048,Versa 4
2026-05-07T14:24:00Z,3048,Versa 4
2026-05-07T14:32:00Z,3048,Versa 4
2026-05-07T16:23:00Z,3048,Versa 4
2026-05-08T06:28:00Z,3048,Versa 4
2026-05-08T12:26:00Z,3048,Versa 4
2026-05-08T13:17:00Z,3048,Versa 4
2026-05-08T14:18:00Z,3048,Versa 4
2026-05-08T15:16:00Z,3048,Versa 4
2026-05-08T15:18:00Z,3048,Versa 4
2026-05-08T15:20:00Z,3048,Versa 4
2026-05-08T15:26:00Z,3048,Versa 4
2026-05-08T15:31:00Z,3048,Versa 4
2026-05-08T15:38:00Z,3048,Versa 4
2026-05-08T15:58:00Z,3048,Versa 4
2026-05-08T16:27:00Z,3048,Versa 4
2026-05-08T16:40:00Z,3048,Versa 4
2026-05-08T16:49:00Z,3048,Versa 4
2026-05-08T19:49:00Z,6096,Versa 4
2026-05-08T21:21:00Z,3048,Versa 4
2026-05-08T23:41:00Z,3048,Versa 4
2026-05-08T23:54:00Z,6096,Versa 4
2026-05-09T00:04:00Z,3048,Versa 4
2026-05-09T11:24:00Z,3048,Versa 4
2026-05-09T11:34:00Z,3048,Versa 4
2026-05-09T14:02:00Z,3048,Versa 4
2026-05-09T14:03:00Z,3048,Versa 4
2026-05-09T14:30:00Z,3048,Versa 4
2026-05-09T14:31:00Z,3048,Versa 4
2026-05-09T17:14:00Z,3048,Versa 4
2026-05-09T22:31:00Z,3048,Versa 4
2026-05-10T12:05:00Z,3048,Versa 4
2026-05-10T13:55:00Z,3048,Versa 4
2026-05-11T05:33:00Z,3048,Versa 4
2026-05-12T09:08:00Z,3048,Versa 4
2026-05-12T10:34:00Z,3048,Versa 4
2026-05-12T10:36:00Z,3048,Versa 4
2026-05-12T13:27:00Z,3048,Versa 4
2026-05-12T14:13:00Z,3048,Versa 4
2026-05-12T17:08:00Z,3048,Versa 4
2026-05-12T17:47:00Z,3048,Versa 4
2026-05-13T03:26:00Z,3048,Versa 4
2026-05-13T06:22:00Z,3048,Versa 4
2026-05-14T14:01:00Z,6096,Versa 4
2026-05-14T14:02:00Z,6096,Versa 4
2026-05-14T14:04:00Z,6096,Versa 4
2026-05-14T14:05:00Z,3048,Versa 4
2026-05-14T14:06:00Z,3048,Versa 4
2026-05-14T14:07:00Z,3048,Versa 4
2026-05-14T14:09:00Z,3048,Versa 4
2026-05-14T14:13:00Z,6096,Versa 4
2026-05-14T21:13:00Z,3048,Versa 4
2026-05-15T11:16:00Z,3048,Versa 4
2026-05-15T12:39:00Z,3048,Versa 4
2026-05-16T15:03:00Z,3048,Versa 4
2026-05-16T15:41:00Z,3048,Versa 4
2026-05-16T22:22:00Z,3048,Versa 4
2026-05-17T03:23:00Z,6096,Versa 4
2026-05-17T09:43:00Z,3048,Versa 4
2026-05-17T16:45:00Z,3048,Versa 4
2026-05-17T16:57:00Z,3048,Versa 4
2026-05-17T17:11:00Z,3048,Versa 4
2026-05-17T20:22:00Z,3048,Versa 4
2026-05-18T10:31:00Z,3048,Versa 4
2026-05-18T14:26:00Z,3048,Versa 4
2026-05-18T14:27:00Z,3048,Versa 4
2026-05-19T14:03:00Z,3048,Versa 4
2026-05-19T15:45:00Z,3048,Versa 4
2026-05-19T16:37:00Z,3048,Versa 4
2026-05-20T04:57:00Z,3048,Versa 4
2026-05-20T06:34:00Z,3048,Versa 4
2026-05-21T05:46:00Z,3048,Versa 4
2026-05-21T06:48:00Z,3048,Versa 4
