timestamp,min observed load,max observed load,data source
2026-05-06,0.0,50.0,Fitbit App
2026-05-07,0.0,50.0,Fitbit App
2026-05-08,0.0,50.0,Fitbit App
2026-05-09,0.0,93.62851484517734,Fitbit App
2026-05-10,0.0,93.62851484517734,Fitbit App
2026-05-11,0.0,93.62851484517734,Fitbit App
2026-05-12,0.0,93.62851484517734,Fitbit App
2026-05-13,0.0,93.62851484517734,Fitbit App
2026-05-14,5.747104925600127,63.783054103253846,Fitbit App
2026-05-15,5.747104925600127,63.783054103253846,Fitbit App
2026-05-16,2.9201871432044624,63.783054103253846,Fitbit App
2026-05-17,2.9201871432044624,63.783054103253846,Fitbit App
2026-05-18,2.9201871432044624,63.783054103253846,Fitbit App
2026-05-19,2.9201871432044624,63.783054103253846,Fitbit App
2026-05-20,2.9201871432044624,63.783054103253846,Fitbit App
2026-05-21,2.3631755525018368,63.783054103253846,Fitbit App
