start time,end time,data source
2026-05-07T06:55:00Z,2026-05-07T07:55:00Z,Fitbit App
2026-05-07T08:00:00Z,2026-05-07T09:15:00Z,Fitbit App
2026-05-07T09:19:00Z,2026-05-07T09:37:00Z,Fitbit App
2026-05-07T09:44:00Z,2026-05-07T10:04:00Z,Fitbit App
2026-05-07T10:13:00Z,2026-05-07T10:25:00Z,Fitbit App
2026-05-07T10:28:00Z,2026-05-07T10:53:00Z,Fitbit App
2026-05-07T10:58:00Z,2026-05-07T11:14:00Z,Fitbit App
2026-05-07T13:22:00Z,2026-05-07T13:47:00Z,Fitbit App
2026-05-07T15:36:00Z,2026-05-07T15:51:00Z,Fitbit App
2026-05-07T15:58:00Z,2026-05-07T16:18:00Z,Fitbit App
2026-05-07T16:56:00Z,2026-05-07T17:07:00Z,Fitbit App
2026-05-07T17:10:00Z,2026-05-07T17:25:00Z,Fitbit App
2026-05-07T17:26:00Z,2026-05-07T17:37:00Z,Fitbit App
2026-05-07T17:44:00Z,2026-05-07T18:14:00Z,Fitbit App
2026-05-07T18:15:00Z,2026-05-07T18:52:00Z,Fitbit App
2026-05-07T18:54:00Z,2026-05-07T19:27:00Z,Fitbit App
2026-05-07T19:28:00Z,2026-05-07T19:38:00Z,Fitbit App
2026-05-07T19:42:00Z,2026-05-07T20:34:00Z,Fitbit App
2026-05-07T20:58:00Z,2026-05-07T21:53:00Z,Fitbit App
