timestamp,Infrared to Red Signal Ratio
05/19/26 06:32:01,-1
05/19/26 06:33:01,26
05/19/26 06:34:01,16
05/19/26 06:35:01,-2
05/19/26 06:36:01,0
05/19/26 06:37:01,0
05/19/26 06:38:01,44
05/19/26 06:39:01,0
05/19/26 06:40:01,29
05/19/26 06:41:01,0
05/19/26 06:42:01,5
05/19/26 06:43:01,0
05/19/26 06:44:01,3
05/19/26 06:45:04,26
05/19/26 06:46:04,3
05/19/26 06:47:04,7
05/19/26 06:48:04,6
05/19/26 06:49:04,0
05/19/26 06:50:04,0
05/19/26 06:51:04,17
05/19/26 06:52:04,-1
05/19/26 06:53:04,-33
05/19/26 06:54:04,6
05/19/26 06:55:04,13
05/19/26 06:56:04,18
05/19/26 06:57:04,29
05/19/26 06:58:04,50
05/19/26 06:59:04,24
05/19/26 07:00:03,0
05/19/26 07:01:03,19
05/19/26 07:02:03,-2
05/19/26 07:03:03,15
05/19/26 07:04:03,4
05/19/26 07:05:03,0
05/19/26 07:06:03,23
05/19/26 07:07:03,0
05/19/26 07:08:03,40
05/19/26 07:09:03,5
05/19/26 07:10:03,9
05/19/26 07:11:03,60
05/19/26 07:12:03,0
05/19/26 07:13:03,0
05/19/26 07:14:03,0
05/19/26 07:15:03,36
05/19/26 07:16:03,8
05/19/26 07:17:03,27
05/19/26 07:18:03,24
05/19/26 07:19:03,6
05/19/26 07:20:03,0
05/19/26 07:21:03,42
05/19/26 07:22:03,39
05/19/26 07:23:03,19
05/19/26 07:24:03,0
05/19/26 07:25:03,30
05/19/26 07:26:03,13
05/19/26 07:27:03,0
05/19/26 07:28:03,42
05/19/26 07:29:03,14
05/19/26 07:30:03,-19
05/19/26 07:31:03,0
05/19/26 07:32:03,33
05/19/26 07:33:03,8
05/19/26 07:34:03,20
05/19/26 07:35:03,11
05/19/26 07:36:03,34
05/19/26 07:37:03,1
05/19/26 07:38:03,18
05/19/26 07:39:03,39
05/19/26 07:40:03,-9
05/19/26 07:41:03,-12
05/19/26 07:42:03,17
05/19/26 07:43:03,13
05/19/26 07:44:03,-17
05/19/26 07:45:04,4
05/19/26 07:46:04,1
05/19/26 07:47:04,-15
05/19/26 07:48:04,-32
05/19/26 07:49:04,-6
05/19/26 07:50:04,30
05/19/26 07:51:04,0
05/19/26 07:52:04,0
05/19/26 07:53:04,33
05/19/26 07:54:04,1
05/19/26 07:55:04,0
05/19/26 07:56:04,-34
05/19/26 07:57:04,-13
05/19/26 07:58:04,0
05/19/26 07:59:04,9
05/19/26 08:00:02,7
05/19/26 08:01:02,0
05/19/26 08:02:02,0
05/19/26 08:03:02,0
05/19/26 08:04:02,0
05/19/26 08:05:02,0
05/19/26 08:06:02,0
05/19/26 08:07:02,-38
05/19/26 08:08:02,15
05/19/26 08:09:02,-26
05/19/26 08:10:02,8
05/19/26 08:11:02,74
05/19/26 08:12:02,-1
05/19/26 08:13:02,17
05/19/26 08:14:02,0
05/19/26 08:15:03,0
05/19/26 08:16:03,0
05/19/26 08:17:03,0
05/19/26 08:18:03,29
05/19/26 08:19:03,0
05/19/26 08:20:03,16
05/19/26 08:21:03,1
05/19/26 08:22:03,42
05/19/26 08:23:03,-1
05/19/26 08:24:03,0
05/19/26 08:25:03,-7
05/19/26 08:26:03,32
05/19/26 08:27:03,-10
05/19/26 08:28:03,0
05/19/26 08:29:03,-1
05/19/26 08:30:03,-3
05/19/26 08:31:04,10
05/19/26 08:32:04,-4
05/19/26 08:33:04,1
05/19/26 08:34:04,-1
05/19/26 08:35:04,30
05/19/26 08:36:04,-22
05/19/26 08:37:04,4
05/19/26 08:38:04,-1
05/19/26 08:39:04,0
05/19/26 08:40:04,2
