timestamp,Infrared to Red Signal Ratio
06/03/26 02:22:02,-34
06/03/26 02:23:02,-8
06/03/26 02:24:02,0
06/03/26 02:25:02,0
06/03/26 02:26:02,-3
06/03/26 04:35:31,-5
06/03/26 04:36:31,0
06/03/26 04:37:31,0
06/03/26 04:38:31,0
06/03/26 04:39:31,0
06/03/26 04:40:31,0
06/03/26 04:41:31,0
06/03/26 04:42:31,0
06/03/26 04:43:31,0
06/03/26 04:44:31,0
06/03/26 04:45:31,0
06/03/26 04:46:31,0
06/03/26 04:47:31,0
06/03/26 04:48:31,0
06/03/26 04:49:31,0
06/03/26 04:50:31,0
06/03/26 04:51:31,0
06/03/26 04:52:31,0
06/03/26 04:53:31,0
06/03/26 04:54:31,0
06/03/26 04:55:31,0
06/03/26 04:56:31,0
06/03/26 04:57:31,0
06/03/26 04:58:31,0
06/03/26 04:59:31,0
06/03/26 05:00:31,0
06/03/26 05:01:31,0
06/03/26 05:02:31,0
06/03/26 05:03:31,0
06/03/26 05:04:31,0
06/03/26 05:05:31,0
06/03/26 05:06:31,0
06/03/26 05:07:31,0
06/03/26 05:08:31,0
06/03/26 05:09:31,0
06/03/26 05:10:31,0
06/03/26 05:11:31,0
06/03/26 05:12:31,0
06/03/26 05:13:31,0
06/03/26 05:14:31,0
06/03/26 05:15:31,0
06/03/26 05:16:31,0
06/03/26 05:17:31,0
06/03/26 05:18:31,0
06/03/26 05:19:31,-71
06/03/26 05:20:31,-1
06/03/26 05:21:31,-26
06/03/26 05:22:31,-68
06/03/26 05:23:31,-3
06/03/26 05:24:31,-6
06/03/26 05:25:31,0
06/03/26 05:26:31,2
06/03/26 05:27:31,22
06/03/26 05:28:31,-4
06/03/26 05:29:31,0
06/03/26 05:30:31,-4
06/03/26 05:31:31,36
06/03/26 05:32:31,0
06/03/26 05:33:31,0
06/03/26 05:34:31,-26
06/03/26 05:35:31,-5
06/03/26 05:36:31,0
06/03/26 05:37:31,18
06/03/26 05:38:31,-19
06/03/26 05:39:31,0
06/03/26 05:40:31,7
06/03/26 05:41:31,34
06/03/26 05:42:31,9
06/03/26 05:43:31,5
06/03/26 05:44:31,0
06/03/26 05:45:31,0
06/03/26 05:46:31,-18
06/03/26 05:47:31,0
06/03/26 05:48:31,0
06/03/26 05:49:31,18
06/03/26 05:50:31,-34
06/03/26 05:51:31,-8
