timestamp,average_value,lower_bound,upper_bound
2026-05-09T00:00:00Z,96.7,95.0,98.6
2026-05-10T00:00:00Z,94.3,91.5,97.7
2026-05-11T00:00:00Z,95.3,93.0,97.7
2026-05-12T00:00:00Z,94.0,91.0,98.1
2026-05-15T00:00:00Z,95.1,90.7,97.5
2026-05-17T00:00:00Z,96.2,93.1,100.0
2026-05-18T00:00:00Z,95.8,94.6,96.9
2026-05-19T00:00:00Z,94.6,91.7,97.6
2026-05-20T00:00:00Z,94.4,92.0,97.0
2026-05-21T00:00:00Z,94.6,91.9,97.8
2026-05-25T00:00:00Z,95.2,93.0,97.2
2026-06-03T00:00:00Z,95.8,92.4,98.7
2026-06-04T00:00:00Z,97.0,95.0,99.9
2026-06-05T00:00:00Z,95.8,93.6,97.6
2026-06-07T00:00:00Z,94.8,91.1,97.9
2026-06-08T00:00:00Z,95.6,91.8,100.0
