timestamp,value
2026-05-10T00:00:05Z,95.1
2026-05-10T00:01:05Z,94.7
2026-05-10T00:02:05Z,94.3
2026-05-10T00:03:05Z,94.1
2026-05-10T00:04:05Z,93.8
2026-05-10T00:05:05Z,93.4
2026-05-10T00:06:05Z,93.2
2026-05-10T00:07:05Z,92.9
2026-05-10T00:08:05Z,92.7
2026-05-10T00:09:05Z,92.6
2026-05-10T00:10:05Z,92.4
2026-05-10T00:11:05Z,92.2
2026-05-10T00:12:05Z,92.1
2026-05-10T00:13:05Z,91.9
2026-05-10T00:14:05Z,91.8
2026-05-10T00:15:05Z,91.7
2026-05-10T00:16:05Z,91.7
2026-05-10T00:17:05Z,91.6
2026-05-10T00:18:05Z,91.6
2026-05-10T00:19:05Z,91.5
2026-05-10T00:20:05Z,91.4
2026-05-10T00:21:05Z,91.4
2026-05-10T00:22:05Z,50.0
2026-05-10T00:23:05Z,91.8
2026-05-10T00:24:05Z,92.3
2026-05-10T00:25:05Z,92.5
2026-05-10T00:26:05Z,92.3
2026-05-10T00:27:05Z,92.1
2026-05-10T00:28:05Z,91.9
2026-05-10T00:29:05Z,91.8
2026-05-10T00:30:05Z,92.1
2026-05-10T00:31:05Z,91.9
2026-05-10T00:32:05Z,92.6
2026-05-10T00:33:05Z,92.8
2026-05-10T00:34:05Z,50.0
2026-05-10T00:35:05Z,95.0
2026-05-10T00:36:05Z,96.4
2026-05-10T00:37:05Z,97.6
2026-05-10T00:38:05Z,98.3
2026-05-10T00:39:05Z,98.3
2026-05-10T00:40:05Z,98.5
2026-05-10T00:41:05Z,98.5
2026-05-10T00:42:05Z,50.0
2026-05-10T00:43:05Z,97.5
2026-05-10T00:44:05Z,95.9
2026-05-10T00:45:05Z,95.1
2026-05-10T00:46:05Z,94.4
2026-05-10T00:47:05Z,94.0
2026-05-10T00:48:05Z,93.6
2026-05-10T00:49:05Z,93.4
2026-05-10T00:50:05Z,93.6
2026-05-10T00:51:05Z,93.9
2026-05-10T00:52:05Z,94.0
2026-05-10T00:53:05Z,93.9
2026-05-10T00:54:05Z,93.8
2026-05-10T00:55:05Z,93.7
2026-05-10T00:56:05Z,93.6
2026-05-10T00:57:05Z,93.8
2026-05-10T00:58:05Z,93.7
2026-05-10T00:59:05Z,93.8
2026-05-10T01:00:05Z,93.8
2026-05-10T01:01:05Z,93.7
2026-05-10T01:02:05Z,93.8
2026-05-10T01:03:05Z,93.7
2026-05-10T01:04:05Z,93.6
2026-05-10T01:05:05Z,93.5
2026-05-10T01:06:05Z,93.7
2026-05-10T01:07:05Z,93.5
2026-05-10T01:08:05Z,93.2
2026-05-10T01:09:05Z,93.1
2026-05-10T01:10:05Z,93.4
2026-05-10T01:11:05Z,93.4
2026-05-10T01:12:05Z,93.2
2026-05-10T01:13:05Z,93.1
2026-05-10T01:14:05Z,93.3
2026-05-10T01:15:05Z,93.1
2026-05-10T01:16:05Z,93.1
2026-05-10T01:17:05Z,92.9
2026-05-10T01:18:05Z,50.0
2026-05-10T01:19:05Z,92.2
2026-05-10T01:20:05Z,92.2
2026-05-10T01:21:05Z,92.8
2026-05-10T01:22:05Z,93.0
2026-05-10T01:23:05Z,93.4
2026-05-10T01:24:05Z,93.4
2026-05-10T01:25:05Z,94.4
2026-05-10T01:26:05Z,95.1
2026-05-10T01:27:05Z,96.3
2026-05-10T01:28:05Z,96.5
2026-05-10T01:29:05Z,96.7
2026-05-10T01:30:05Z,96.6
2026-05-10T01:31:05Z,50.0
2026-05-10T01:32:05Z,96.7
2026-05-10T01:33:05Z,93.2
2026-05-10T01:34:05Z,93.5
2026-05-10T01:35:05Z,50.0
2026-05-10T01:36:05Z,92.9
2026-05-10T01:37:05Z,94.6
2026-05-10T01:38:05Z,50.0
2026-05-10T01:39:05Z,96.0
2026-05-10T01:40:05Z,96.9
2026-05-10T01:41:05Z,50.0
2026-05-10T01:42:05Z,97.4
2026-05-10T01:43:05Z,95.0
2026-05-10T01:44:05Z,92.8
2026-05-10T01:45:05Z,91.5
2026-05-10T01:46:05Z,88.8
2026-05-10T01:47:05Z,89.1
2026-05-10T01:48:05Z,89.7
2026-05-10T01:49:05Z,50.0
2026-05-10T01:50:05Z,88.4
2026-05-10T01:51:05Z,87.1
2026-05-10T01:52:05Z,86.1
2026-05-10T01:53:05Z,86.4
2026-05-10T01:54:05Z,50.0
2026-05-10T01:55:05Z,82.3
2026-05-10T01:56:05Z,75.8
2026-05-10T01:57:05Z,79.4
2026-05-10T01:58:05Z,76.3
2026-05-10T01:59:05Z,77.2
2026-05-10T02:00:05Z,50.0
2026-05-10T02:01:05Z,79.0
2026-05-10T02:02:05Z,82.5
2026-05-10T02:03:05Z,84.7
2026-05-10T02:04:05Z,86.2
2026-05-10T02:05:05Z,87.9
2026-05-10T02:06:05Z,89.6
2026-05-10T02:07:05Z,89.7
2026-05-10T02:08:05Z,89.9
2026-05-10T02:09:05Z,90.9
2026-05-10T02:10:05Z,91.5
2026-05-10T02:11:05Z,92.5
2026-05-10T02:12:05Z,92.4
2026-05-10T02:13:05Z,93.5
2026-05-10T02:14:05Z,93.2
2026-05-10T02:15:05Z,93.3
2026-05-10T02:16:05Z,93.7
2026-05-10T02:17:05Z,93.3
2026-05-10T02:18:05Z,93.5
2026-05-10T02:19:05Z,92.8
2026-05-10T02:20:05Z,94.0
2026-05-10T02:21:05Z,95.1
2026-05-10T02:22:05Z,95.5
2026-05-10T02:23:05Z,95.5
2026-05-10T02:24:05Z,95.1
2026-05-10T02:25:05Z,94.6
2026-05-10T02:26:05Z,94.2
2026-05-10T02:27:05Z,93.7
2026-05-10T02:28:05Z,93.4
2026-05-10T02:29:05Z,93.3
2026-05-10T02:30:05Z,93.2
2026-05-10T02:31:05Z,93.2
2026-05-10T02:32:05Z,93.0
2026-05-10T02:33:05Z,92.9
2026-05-10T02:34:05Z,92.9
2026-05-10T02:35:05Z,93.0
2026-05-10T02:36:05Z,93.2
2026-05-10T02:37:05Z,93.0
2026-05-10T02:38:05Z,93.1
2026-05-10T02:39:05Z,93.2
2026-05-10T02:40:05Z,93.6
2026-05-10T02:41:05Z,93.8
2026-05-10T02:42:05Z,93.9
2026-05-10T02:43:05Z,94.1
2026-05-10T02:44:05Z,93.9
2026-05-10T02:45:05Z,93.4
2026-05-10T02:46:05Z,93.4
2026-05-10T02:47:05Z,94.0
2026-05-10T02:48:05Z,93.5
2026-05-10T02:49:05Z,93.0
2026-05-10T02:50:05Z,93.1
2026-05-10T02:51:05Z,92.9
2026-05-10T02:52:05Z,92.4
2026-05-10T02:53:05Z,92.2
2026-05-10T02:54:05Z,92.1
2026-05-10T02:55:05Z,91.8
2026-05-10T02:56:05Z,92.1
2026-05-10T02:57:05Z,92.3
2026-05-10T02:58:05Z,92.3
2026-05-10T02:59:05Z,92.8
2026-05-10T03:00:05Z,92.6
2026-05-10T03:01:05Z,92.6
2026-05-10T03:02:05Z,92.7
2026-05-10T03:03:05Z,92.8
2026-05-10T03:04:05Z,92.5
2026-05-10T03:05:05Z,93.4
2026-05-10T03:06:05Z,93.0
2026-05-10T03:07:05Z,93.0
2026-05-10T03:08:05Z,92.9
2026-05-10T03:09:05Z,92.9
2026-05-10T03:10:05Z,94.6
2026-05-10T03:11:05Z,94.9
2026-05-10T03:12:05Z,96.0
2026-05-10T03:13:05Z,96.3
2026-05-10T03:14:05Z,96.2
2026-05-10T03:15:05Z,50.0
2026-05-10T03:16:05Z,93.6
2026-05-10T03:17:05Z,88.0
2026-05-10T03:18:05Z,85.8
2026-05-10T03:19:05Z,87.9
2026-05-10T03:20:05Z,80.6
2026-05-10T03:21:05Z,79.2
2026-05-10T03:22:05Z,78.8
2026-05-10T03:23:05Z,79.2
2026-05-10T03:24:05Z,79.4
2026-05-10T03:25:05Z,50.0
2026-05-10T03:26:05Z,78.0
2026-05-10T03:27:05Z,77.8
2026-05-10T03:28:05Z,78.5
2026-05-10T03:29:05Z,77.4
2026-05-10T03:30:05Z,77.8
2026-05-10T03:31:05Z,78.8
2026-05-10T03:32:05Z,50.0
2026-05-10T03:33:05Z,79.5
2026-05-10T03:34:05Z,79.4
2026-05-10T03:35:05Z,79.4
2026-05-10T03:36:05Z,79.2
2026-05-10T03:37:05Z,78.4
2026-05-10T03:38:05Z,50.0
2026-05-10T03:39:05Z,78.8
2026-05-10T03:40:05Z,83.8
2026-05-10T03:41:05Z,50.0
2026-05-10T03:42:05Z,86.6
2026-05-10T03:43:05Z,89.3
2026-05-10T03:44:05Z,90.8
2026-05-10T03:45:05Z,92.1
2026-05-10T03:46:05Z,93.0
2026-05-10T03:47:05Z,93.6
2026-05-10T03:48:05Z,50.0
2026-05-10T03:49:05Z,93.6
2026-05-10T03:50:05Z,92.9
2026-05-10T03:51:05Z,92.1
2026-05-10T03:52:05Z,91.2
2026-05-10T03:53:05Z,91.1
2026-05-10T03:54:05Z,90.6
2026-05-10T03:55:05Z,90.0
2026-05-10T03:56:05Z,89.6
2026-05-10T03:57:05Z,90.0
2026-05-10T03:58:05Z,89.6
2026-05-10T03:59:05Z,89.3
2026-05-10T04:00:05Z,89.5
2026-05-10T04:01:05Z,90.2
2026-05-10T04:02:05Z,89.9
2026-05-10T04:03:05Z,90.0
2026-05-10T04:04:05Z,89.7
2026-05-10T04:05:05Z,89.9
2026-05-10T04:06:05Z,90.2
2026-05-10T04:07:05Z,90.7
2026-05-10T04:08:05Z,90.9
2026-05-10T04:09:05Z,50.0
2026-05-10T04:10:05Z,93.2
2026-05-10T04:11:05Z,94.2
2026-05-10T04:12:05Z,94.8
2026-05-10T04:13:05Z,95.4
2026-05-10T04:14:05Z,95.8
2026-05-10T04:15:05Z,95.8
2026-05-10T04:16:05Z,96.0
2026-05-10T04:17:05Z,96.3
2026-05-10T04:18:05Z,96.5
2026-05-10T04:19:05Z,96.6
2026-05-10T04:20:05Z,96.6
2026-05-10T04:21:05Z,96.4
2026-05-10T04:22:05Z,96.5
2026-05-10T04:23:05Z,96.5
2026-05-10T04:24:05Z,96.4
2026-05-10T04:25:05Z,96.4
2026-05-10T04:26:05Z,96.3
2026-05-10T04:27:05Z,96.3
2026-05-10T04:28:05Z,50.0
2026-05-10T04:29:05Z,96.3
2026-05-10T04:30:05Z,50.0
2026-05-10T04:31:05Z,91.4
2026-05-10T04:32:05Z,89.8
2026-05-10T04:33:05Z,85.9
2026-05-10T04:34:05Z,84.7
2026-05-10T04:35:05Z,83.8
2026-05-10T04:36:05Z,82.3
2026-05-10T04:37:05Z,82.0
2026-05-10T04:38:05Z,81.7
2026-05-10T04:39:05Z,80.8
2026-05-10T04:40:05Z,81.8
2026-05-10T04:41:05Z,80.9
2026-05-10T04:42:05Z,80.3
2026-05-10T04:43:05Z,79.1
2026-05-10T04:44:05Z,80.5
2026-05-10T04:45:05Z,80.9
2026-05-10T04:46:05Z,79.0
2026-05-10T04:47:05Z,79.0
2026-05-10T04:48:05Z,80.5
2026-05-10T04:49:05Z,50.0
2026-05-10T04:50:05Z,50.0
2026-05-10T04:51:05Z,83.0
2026-05-10T04:52:05Z,86.4
2026-05-10T04:53:05Z,90.0
2026-05-10T04:54:05Z,92.1
2026-05-10T04:55:05Z,93.1
2026-05-10T04:56:05Z,94.3
2026-05-10T04:57:05Z,94.6
2026-05-10T04:58:05Z,94.2
2026-05-10T04:59:05Z,94.3
2026-05-10T05:00:05Z,94.6
2026-05-10T05:01:05Z,93.9
2026-05-10T05:02:05Z,94.2
2026-05-10T05:03:05Z,50.0
2026-05-10T05:04:05Z,50.0
2026-05-10T05:05:05Z,94.8
2026-05-10T05:06:05Z,95.6
2026-05-10T05:07:05Z,96.0
2026-05-10T05:08:05Z,97.0
2026-05-10T05:09:05Z,97.7
2026-05-10T05:10:05Z,50.0
2026-05-10T05:11:05Z,97.9
2026-05-10T05:12:05Z,98.1
2026-05-10T05:13:05Z,97.9
2026-05-10T05:14:05Z,97.5
2026-05-10T05:15:05Z,97.7
2026-05-10T05:16:05Z,98.1
2026-05-10T05:17:05Z,98.0
2026-05-10T05:18:05Z,97.6
2026-05-10T05:19:05Z,96.8
2026-05-10T05:20:05Z,96.2
2026-05-10T05:21:05Z,95.6
2026-05-10T05:22:05Z,95.3
2026-05-10T05:23:05Z,50.0
2026-05-10T05:24:05Z,95.5
2026-05-10T05:25:05Z,50.0
2026-05-10T05:26:05Z,50.0
2026-05-10T05:27:05Z,95.8
2026-05-10T05:28:05Z,96.1
2026-05-10T05:29:05Z,96.0
2026-05-10T05:30:05Z,95.9
2026-05-10T05:31:05Z,50.0
2026-05-10T05:32:05Z,94.9
2026-05-10T05:33:05Z,95.0
2026-05-10T05:34:05Z,94.7
2026-05-10T05:35:05Z,94.8
2026-05-10T05:36:05Z,94.2
2026-05-10T05:37:05Z,93.1
2026-05-10T05:38:05Z,50.0
2026-05-10T05:39:05Z,93.4
2026-05-10T05:40:05Z,92.4
2026-05-10T05:41:05Z,50.0
2026-05-10T05:42:05Z,93.6
2026-05-10T05:43:05Z,95.7
2026-05-10T05:44:05Z,96.6
2026-05-10T05:45:05Z,97.2
2026-05-10T05:46:05Z,50.0
2026-05-10T05:47:05Z,97.4
2026-05-10T05:48:05Z,97.0
2026-05-10T05:49:05Z,96.6
2026-05-10T05:50:05Z,95.9
2026-05-10T05:51:05Z,95.4
2026-05-10T05:52:05Z,93.3
2026-05-10T05:53:05Z,92.0
2026-05-10T05:54:05Z,50.0
2026-05-10T05:55:05Z,82.3
2026-05-10T05:56:05Z,78.0
2026-05-10T05:57:05Z,76.2
2026-05-10T05:58:05Z,50.0
2026-05-10T05:59:05Z,77.1
2026-05-10T06:00:05Z,80.1
2026-05-10T06:01:05Z,84.7
2026-05-10T06:02:05Z,85.5
2026-05-10T06:03:05Z,87.5
2026-05-10T06:04:05Z,88.6
2026-05-10T06:05:05Z,88.9
2026-05-10T06:06:05Z,89.4
2026-05-10T06:07:05Z,91.8
2026-05-10T06:08:05Z,92.2
2026-05-10T06:09:05Z,92.6
2026-05-10T06:10:05Z,90.2
2026-05-10T06:11:05Z,88.8
2026-05-10T06:12:05Z,86.5
2026-05-10T06:13:05Z,86.1
2026-05-10T06:14:05Z,81.3
2026-05-10T06:15:05Z,79.6
2026-05-10T06:16:05Z,79.2
2026-05-10T06:17:05Z,79.1
2026-05-10T06:18:05Z,77.9
2026-05-10T06:19:05Z,78.2
2026-05-10T06:20:05Z,77.3
2026-05-10T06:21:05Z,77.5
2026-05-10T06:22:05Z,78.2
2026-05-10T06:23:05Z,77.7
2026-05-10T06:24:05Z,75.6
2026-05-10T06:25:05Z,75.7
2026-05-10T06:26:05Z,75.7
2026-05-10T06:27:05Z,75.8
2026-05-10T06:28:05Z,75.9
2026-05-10T06:29:05Z,75.8
2026-05-10T06:30:05Z,77.1
2026-05-10T06:31:05Z,75.9
2026-05-10T06:32:05Z,50.0
2026-05-10T06:33:05Z,75.9
2026-05-10T06:34:05Z,78.7
2026-05-10T06:35:05Z,82.6
2026-05-10T06:36:05Z,85.7
2026-05-10T06:37:05Z,88.2
2026-05-10T06:38:05Z,89.8
2026-05-10T06:39:05Z,90.9
2026-05-10T06:40:05Z,91.9
2026-05-10T06:41:05Z,92.4
2026-05-10T06:42:05Z,93.1
2026-05-10T06:43:05Z,50.0
2026-05-10T06:44:05Z,94.1
2026-05-10T06:45:05Z,95.9
2026-05-10T06:46:05Z,96.4
2026-05-10T06:47:05Z,92.4
2026-05-10T06:48:05Z,91.9
2026-05-10T06:49:05Z,91.1
2026-05-10T06:50:05Z,93.2
2026-05-10T06:51:05Z,94.6
2026-05-10T06:52:05Z,50.0
2026-05-10T06:53:05Z,94.8
2026-05-10T06:54:05Z,82.9
2026-05-10T06:55:05Z,78.4
2026-05-10T06:56:05Z,78.7
2026-05-10T06:57:05Z,79.1
2026-05-10T06:58:05Z,78.9
2026-05-10T06:59:05Z,79.0
2026-05-10T07:00:05Z,80.8
2026-05-10T07:01:05Z,82.7
2026-05-10T07:02:05Z,85.2
2026-05-10T07:03:05Z,50.0
2026-05-10T07:04:05Z,88.0
2026-05-10T07:05:05Z,86.5
2026-05-10T07:06:05Z,50.0
2026-05-10T07:07:05Z,84.4
2026-05-10T07:08:05Z,50.0
2026-05-10T07:09:05Z,87.3
2026-05-10T07:10:05Z,50.0
2026-05-10T07:11:05Z,79.1
2026-05-10T07:12:05Z,77.2
2026-05-10T07:13:05Z,50.0
2026-05-10T07:14:05Z,50.0
2026-05-10T07:15:05Z,77.5
2026-05-10T07:16:05Z,80.7
2026-05-10T07:17:05Z,84.7
2026-05-10T07:18:05Z,87.4
2026-05-10T07:19:05Z,89.4
2026-05-10T07:20:05Z,90.6
2026-05-10T07:21:05Z,91.4
2026-05-10T07:22:05Z,91.9
2026-05-10T07:23:05Z,50.0
2026-05-10T07:24:05Z,90.8
2026-05-10T07:25:05Z,50.0
2026-05-10T07:26:05Z,89.8
2026-05-10T07:27:05Z,91.4
2026-05-10T07:28:05Z,93.0
2026-05-10T07:29:05Z,50.0
2026-05-10T07:30:05Z,50.0
2026-05-10T07:31:05Z,50.0
2026-05-10T07:32:05Z,50.0
2026-05-10T07:33:05Z,50.0
2026-05-10T07:34:05Z,50.0
2026-05-10T07:35:05Z,50.0
2026-05-10T07:36:05Z,93.4
2026-05-10T07:37:05Z,50.0
2026-05-10T07:38:05Z,94.5
2026-05-10T07:39:05Z,95.4
2026-05-10T07:40:05Z,50.0
2026-05-10T07:41:05Z,89.6
2026-05-10T07:42:05Z,88.6
2026-05-10T07:43:05Z,89.4
2026-05-10T07:44:05Z,89.9
2026-05-10T07:45:05Z,50.0
2026-05-10T07:46:05Z,89.6
2026-05-10T07:47:05Z,50.0
2026-05-10T07:48:05Z,50.0
2026-05-10T07:49:05Z,50.0
2026-05-10T07:50:05Z,92.5
2026-05-10T07:51:05Z,50.0
2026-05-10T07:52:05Z,50.0
2026-05-10T07:53:05Z,92.8
2026-05-10T07:54:05Z,92.6
2026-05-10T07:55:05Z,93.7
2026-05-10T07:56:05Z,94.3
2026-05-10T07:57:05Z,50.0
2026-05-10T09:18:05Z,50.0
2026-05-10T09:19:05Z,80.7
2026-05-10T09:20:05Z,50.0
2026-05-10T09:21:05Z,50.0
2026-05-10T09:22:05Z,50.0
2026-05-10T09:23:05Z,50.0
2026-05-10T15:15:33Z,50.0
2026-05-10T15:16:33Z,50.0
2026-05-10T15:17:33Z,50.0
2026-05-10T15:18:33Z,50.0
2026-05-10T15:19:33Z,50.0
2026-05-10T15:20:33Z,50.0
