start time,end time,data source
2026-05-06T10:15:00Z,2026-05-06T10:26:00Z,Fitbit App
2026-05-06T10:42:00Z,2026-05-06T11:10:00Z,Fitbit App
2026-05-06T11:12:00Z,2026-05-06T11:38:00Z,Fitbit App
2026-05-06T11:47:00Z,2026-05-06T12:03:00Z,Fitbit App
2026-05-06T12:30:00Z,2026-05-06T14:09:00Z,Fitbit App
2026-05-06T14:46:00Z,2026-05-06T15:31:00Z,Fitbit App
2026-05-06T15:30:00Z,2026-05-06T17:09:00Z,Fitbit App
2026-05-06T17:19:00Z,2026-05-06T19:25:00Z,Fitbit App
2026-05-06T19:37:00Z,2026-05-06T20:38:00Z,Fitbit App
2026-05-06T20:42:00Z,2026-05-06T22:00:00Z,Fitbit App
2026-05-06T22:34:00Z,2026-05-06T22:49:00Z,Fitbit App
