timestamp,rmssd,coverage,low_frequency,high_frequency
2026-05-08T00:00:00,30.975,0.919,1814.583,188.986
2026-05-08T00:05:00,27.985,0.852,3068.877,118.292
2026-05-08T00:10:00,30.526,0.972,1110.619,174.053
2026-05-08T00:15:00,28.7,0.992,1579.694,161.213
2026-05-08T00:20:00,28.983,1.002,437.48,214.365
2026-05-08T00:25:00,26.461,0.997,558.442,175.697
2026-05-08T00:30:00,28.302,0.926,432.891,187.637
2026-05-08T00:35:00,41.353,0.937,6958.561,323.548
2026-05-08T00:40:00,33.707,0.832,1852.905,178.202
2026-05-08T00:45:00,32.191,0.942,2613.839,192.436
2026-05-08T00:50:00,29.374,0.93,3493.042,144.961
2026-05-08T00:55:00,37.81,0.805,2228.955,129.005
2026-05-08T01:00:00,36.683,0.927,4045.021,262.189
2026-05-08T01:05:00,21.978,0.947,745.415,71.417
2026-05-08T01:10:00,21.435,0.954,364.251,85.595
2026-05-08T01:15:00,24.689,0.913,1432.293,95.769
2026-05-08T01:20:00,37.005,0.972,3012.376,147.678
2026-05-08T01:25:00,38.129,0.931,1530.845,280.589
2026-05-08T01:30:00,37.763,0.967,316.952,328.259
2026-05-08T01:35:00,36.573,0.943,303.62,300.567
2026-05-08T01:40:00,40.677,0.966,367.392,415.885
2026-05-08T01:45:00,40.21,0.914,343.02,445.833
2026-05-08T01:50:00,39.778,1.005,264.119,399.158
2026-05-08T01:55:00,44.378,0.942,274.307,525.997
2026-05-08T02:00:00,37.521,1.002,611.472,364.417
2026-05-08T02:05:00,37.718,0.909,3529.291,211.741
2026-05-08T02:10:00,33.199,1.002,840.732,290.655
2026-05-08T02:15:00,18.752,0.982,656.922,88.825
2026-05-08T02:20:00,18.986,1.003,974.51,124.226
2026-05-08T02:25:00,24.58,0.98,1715.226,133.52
2026-05-08T02:30:00,22.912,0.982,994.435,182.551
2026-05-08T02:35:00,29.492,0.933,1925.911,219.931
2026-05-08T02:40:00,37.138,0.924,1124.272,258.299
2026-05-08T02:45:00,32.858,0.986,468.404,239.053
2026-05-08T02:50:00,42.585,0.975,1041.937,454.697
2026-05-08T02:55:00,41.581,0.991,1197.474,378.836
2026-05-08T03:00:00,43.301,1.002,596.954,448.406
2026-05-08T03:05:00,42.345,1.003,278.56,451.75
2026-05-08T03:10:00,42.004,1.001,641.293,401.336
2026-05-08T03:15:00,45.43,0.896,651.7,378.963
2026-05-08T03:20:00,38.677,0.988,2167.363,284.457
2026-05-08T03:25:00,29.492,1.002,600.39,258.933
2026-05-08T03:30:00,30.313,1.002,278.589,241.839
2026-05-08T03:35:00,29.901,1.001,492.808,254.16
2026-05-08T03:40:00,37.368,0.919,773.224,253.515
2026-05-08T03:45:00,36.333,0.955,2177.956,187.718
2026-05-08T03:50:00,27.94,0.973,1501.653,188.055
2026-05-08T03:55:00,27.102,0.997,1149.943,99.241
2026-05-08T04:00:00,28.46,1.001,415.139,143.282
2026-05-08T04:05:00,29.923,0.939,2914.985,171.307
2026-05-08T04:25:00,46.718,0.92,1593.718,433.733
2026-05-08T04:30:00,50.181,0.812,3031.463,380.413
2026-05-08T04:35:00,43.307,0.891,971.584,273.509
2026-05-08T04:40:00,49.83,0.923,877.158,404.641
2026-05-08T04:45:00,54.426,0.95,813.754,727.244
2026-05-08T04:50:00,54.287,0.989,827.776,607.616
2026-05-08T04:55:00,56.817,0.988,910.677,722.103
2026-05-08T05:00:00,56.218,1.002,819.544,666.471
2026-05-08T05:05:00,52.207,1.004,568.778,696.346
2026-05-08T05:10:00,53.964,0.993,742.52,782.544
2026-05-08T05:15:00,52.803,1.003,426.904,636.003
2026-05-08T05:20:00,53.187,0.92,292.704,761.569
2026-05-08T05:25:00,64.264,0.751,3758.931,696.827
2026-05-08T05:30:00,56.324,0.965,6621.265,686.761
2026-05-08T05:35:00,31.685,0.99,1021.483,195.88
2026-05-08T05:40:00,34.754,0.947,2622.051,327.619
2026-05-08T05:45:00,37.493,0.989,2856.238,231.064
2026-05-08T05:50:00,35.266,0.957,1966.988,186.167
2026-05-08T05:55:00,45.228,0.901,5940.059,283.891
2026-05-08T06:00:00,47.208,0.945,3766.829,453.642
2026-05-08T06:05:00,43.663,0.982,2441.663,525.701
2026-05-08T06:10:00,43.23,0.953,4574.907,237.905
2026-05-08T06:15:00,43.312,0.986,477.866,376.953
2026-05-08T06:20:00,52.278,0.918,973.987,723.933
2026-05-08T06:25:00,47.505,0.958,477.634,511.146
2026-05-08T06:30:00,41.946,0.948,225.503,439.526
2026-05-08T06:35:00,41.1,1.003,493.106,345.669
2026-05-08T06:40:00,54.222,0.851,837.732,667.07
2026-05-08T06:45:00,46.637,0.963,553.181,638.421
2026-05-08T06:50:00,49.237,1.005,347.268,693.004
2026-05-08T06:55:00,39.141,0.975,831.05,413.475
2026-05-08T07:00:00,42.772,0.841,363.887,157.594
2026-05-08T07:05:00,42.661,0.977,1692.619,328.451
2026-05-08T07:10:00,43.05,0.985,2959.925,512.545
2026-05-08T07:15:00,32.706,0.983,898.587,205.934
2026-05-08T07:20:00,34.869,0.927,464.661,290.594
2026-05-08T07:25:00,27.243,1.003,636.478,136.665
2026-05-08T07:30:00,52.222,0.854,2093.438,689.642
