value_time,setting_name,setting_value
2026-05-06 09:46:38+0000,glucose measurement unit,mmol l
2026-05-06 09:46:38+0000,height system,metric
2026-05-06 09:46:38+0000,water measurement unit,ml
2026-05-06 09:46:38+0000,weight system,metric
2026-05-06 09:46:49+0000,body temperature measurement unit,metric
2026-05-06 10:12:53+0000,pool length,25
2026-05-06 10:12:53+0000,pool length measurement unit,meter
