value_time,setting_name,setting_value
2026-05-06 09:39:17+0000,glucose measurement unit,mg dl
2026-05-06 09:39:17+0000,height system,metric
2026-05-06 09:39:17+0000,water measurement unit,fl oz
2026-05-06 09:39:17+0000,weight system,metric
2026-05-06 10:04:21+0000,pool length,25
2026-05-06 10:04:21+0000,pool length measurement unit,meter
