timestamp,light,moderate,very,data source
2026-06-03T07:40:00Z,1,0,0,Fitbit App
2026-06-03T07:41:00Z,1,0,0,Fitbit App
2026-06-03T07:43:00Z,1,0,0,Fitbit App
2026-06-03T07:44:00Z,1,0,0,Fitbit App
2026-06-03T07:45:00Z,1,0,0,Fitbit App
2026-06-03T07:46:00Z,1,0,0,Fitbit App
2026-06-03T07:49:00Z,1,0,0,Fitbit App
2026-06-03T07:54:00Z,1,0,0,Fitbit App
2026-06-03T07:55:00Z,1,0,0,Fitbit App
2026-06-03T07:56:00Z,1,0,0,Fitbit App
2026-06-03T07:57:00Z,1,0,0,Fitbit App
2026-06-03T07:58:00Z,1,0,0,Fitbit App
2026-06-03T08:01:00Z,1,0,0,Fitbit App
2026-06-03T08:02:00Z,1,0,0,Fitbit App
2026-06-03T08:03:00Z,1,0,0,Fitbit App
2026-06-03T08:04:00Z,1,0,0,Fitbit App
2026-06-03T08:05:00Z,1,0,0,Fitbit App
2026-06-03T08:06:00Z,1,0,0,Fitbit App
2026-06-03T08:07:00Z,1,0,0,Fitbit App
2026-06-03T08:08:00Z,1,0,0,Fitbit App
2026-06-03T08:09:00Z,1,0,0,Fitbit App
2026-06-03T08:10:00Z,1,0,0,Fitbit App
2026-06-03T08:11:00Z,1,0,0,Fitbit App
2026-06-03T08:12:00Z,1,0,0,Fitbit App
2026-06-03T08:13:00Z,1,0,0,Fitbit App
2026-06-03T08:15:00Z,1,0,0,Fitbit App
2026-06-03T08:16:00Z,1,0,0,Fitbit App
2026-06-03T08:17:00Z,1,0,0,Fitbit App
2026-06-03T08:20:00Z,1,0,0,Fitbit App
2026-06-03T08:21:00Z,0,1,0,Fitbit App
2026-06-03T08:22:00Z,0,1,0,Fitbit App
2026-06-03T08:23:00Z,0,1,0,Fitbit App
2026-06-03T08:24:00Z,0,1,0,Fitbit App
2026-06-03T08:25:00Z,0,0,1,Fitbit App
2026-06-03T08:26:00Z,0,0,1,Fitbit App
2026-06-03T08:27:00Z,0,0,1,Fitbit App
2026-06-03T08:28:00Z,0,0,1,Fitbit App
2026-06-03T08:29:00Z,0,0,1,Fitbit App
2026-06-03T08:30:00Z,0,0,1,Fitbit App
2026-06-03T08:31:00Z,1,0,0,Fitbit App
2026-06-03T08:34:00Z,1,0,0,Fitbit App
2026-06-03T08:35:00Z,1,0,0,Fitbit App
2026-06-03T08:36:00Z,1,0,0,Fitbit App
2026-06-03T08:52:00Z,1,0,0,Fitbit App
2026-06-03T08:53:00Z,0,1,0,Fitbit App
2026-06-03T08:54:00Z,0,0,1,Fitbit App
2026-06-03T08:55:00Z,0,0,1,Fitbit App
2026-06-03T08:56:00Z,0,0,1,Fitbit App
2026-06-03T08:57:00Z,0,0,1,Fitbit App
2026-06-03T08:58:00Z,0,0,1,Fitbit App
2026-06-03T08:59:00Z,0,0,1,Fitbit App
2026-06-03T09:00:00Z,0,1,0,Fitbit App
2026-06-03T09:01:00Z,1,0,0,Fitbit App
2026-06-03T09:02:00Z,0,1,0,Fitbit App
2026-06-03T09:03:00Z,1,0,0,Fitbit App
2026-06-03T09:12:00Z,1,0,0,Fitbit App
2026-06-03T09:27:00Z,1,0,0,Fitbit App
2026-06-03T09:29:00Z,1,0,0,Fitbit App
2026-06-03T09:53:00Z,1,0,0,Fitbit App
2026-06-03T09:54:00Z,1,0,0,Fitbit App
2026-06-03T09:57:00Z,1,0,0,Fitbit App
2026-06-03T09:58:00Z,1,0,0,Fitbit App
2026-06-03T10:37:00Z,1,0,0,Fitbit App
2026-06-03T11:35:00Z,1,0,0,Fitbit App
2026-06-03T11:36:00Z,1,0,0,Fitbit App
2026-06-03T11:37:00Z,1,0,0,Fitbit App
2026-06-03T11:38:00Z,1,0,0,Fitbit App
2026-06-03T11:39:00Z,1,0,0,Fitbit App
2026-06-03T11:40:00Z,1,0,0,Fitbit App
2026-06-03T11:43:00Z,1,0,0,Fitbit App
2026-06-03T11:44:00Z,1,0,0,Fitbit App
2026-06-03T11:46:00Z,1,0,0,Fitbit App
2026-06-03T11:47:00Z,1,0,0,Fitbit App
2026-06-03T11:55:00Z,1,0,0,Fitbit App
2026-06-03T11:56:00Z,0,1,0,Fitbit App
2026-06-03T11:57:00Z,0,0,1,Fitbit App
2026-06-03T11:58:00Z,0,0,1,Fitbit App
2026-06-03T11:59:00Z,0,0,1,Fitbit App
2026-06-03T12:00:00Z,0,0,1,Fitbit App
2026-06-03T12:01:00Z,0,0,1,Fitbit App
2026-06-03T12:02:00Z,0,1,0,Fitbit App
2026-06-03T12:03:00Z,0,1,0,Fitbit App
2026-06-03T12:04:00Z,1,0,0,Fitbit App
2026-06-03T12:05:00Z,0,0,1,Fitbit App
2026-06-03T12:06:00Z,0,0,1,Fitbit App
2026-06-03T12:07:00Z,0,0,1,Fitbit App
2026-06-03T12:08:00Z,0,0,1,Fitbit App
2026-06-03T12:09:00Z,0,0,1,Fitbit App
2026-06-03T12:10:00Z,0,0,1,Fitbit App
2026-06-03T12:11:00Z,0,0,1,Fitbit App
2026-06-03T12:12:00Z,0,1,0,Fitbit App
2026-06-03T12:13:00Z,1,0,0,Fitbit App
2026-06-03T12:14:00Z,1,0,0,Fitbit App
2026-06-03T12:15:00Z,1,0,0,Fitbit App
2026-06-03T12:16:00Z,1,0,0,Fitbit App
2026-06-03T12:19:00Z,1,0,0,Fitbit App
2026-06-03T12:20:00Z,1,0,0,Fitbit App
2026-06-03T12:44:00Z,1,0,0,Fitbit App
2026-06-03T12:49:00Z,1,0,0,Fitbit App
2026-06-03T12:54:00Z,1,0,0,Fitbit App
2026-06-03T12:55:00Z,1,0,0,Fitbit App
2026-06-03T13:12:00Z,1,0,0,Fitbit App
2026-06-03T13:33:00Z,1,0,0,Fitbit App
2026-06-03T13:34:00Z,1,0,0,Fitbit App
2026-06-03T13:35:00Z,1,0,0,Fitbit App
2026-06-03T13:46:00Z,1,0,0,Fitbit App
2026-06-03T13:47:00Z,1,0,0,Fitbit App
2026-06-03T15:27:00Z,1,0,0,Fitbit App
2026-06-03T15:28:00Z,1,0,0,Fitbit App
2026-06-03T15:29:00Z,1,0,0,Fitbit App
2026-06-03T15:30:00Z,1,0,0,Fitbit App
2026-06-03T15:31:00Z,1,0,0,Fitbit App
2026-06-03T15:32:00Z,1,0,0,Fitbit App
2026-06-03T15:33:00Z,1,0,0,Fitbit App
2026-06-03T15:35:00Z,1,0,0,Fitbit App
2026-06-03T15:36:00Z,1,0,0,Fitbit App
2026-06-03T15:37:00Z,1,0,0,Fitbit App
2026-06-03T16:07:00Z,1,0,0,Fitbit App
2026-06-03T16:21:00Z,1,0,0,Fitbit App
2026-06-03T16:26:00Z,1,0,0,Fitbit App
2026-06-03T16:58:00Z,1,0,0,Fitbit App
2026-06-03T17:00:00Z,1,0,0,Fitbit App
2026-06-03T17:01:00Z,1,0,0,Fitbit App
2026-06-03T17:10:00Z,1,0,0,Fitbit App
2026-06-03T17:11:00Z,1,0,0,Fitbit App
2026-06-03T17:12:00Z,1,0,0,Fitbit App
2026-06-03T17:30:00Z,1,0,0,Fitbit App
2026-06-03T18:15:00Z,1,0,0,Fitbit App
2026-06-03T18:34:00Z,1,0,0,Fitbit App
2026-06-03T18:59:00Z,1,0,0,Fitbit App
2026-06-03T19:31:00Z,1,0,0,Fitbit App
2026-06-03T19:32:00Z,1,0,0,Fitbit App
2026-06-03T19:54:00Z,1,0,0,Fitbit App
2026-06-03T20:41:00Z,1,0,0,Fitbit App
2026-06-03T20:55:00Z,1,0,0,Fitbit App
2026-06-03T20:57:00Z,1,0,0,Fitbit App
2026-06-03T20:58:00Z,1,0,0,Fitbit App
2026-06-03T20:59:00Z,1,0,0,Fitbit App
2026-06-03T21:00:00Z,1,0,0,Fitbit App
2026-06-03T21:05:00Z,1,0,0,Fitbit App
2026-06-03T21:08:00Z,1,0,0,Fitbit App
2026-06-03T22:03:00Z,1,0,0,Fitbit App
2026-06-03T22:33:00Z,1,0,0,Fitbit App
2026-06-03T23:31:00Z,1,0,0,Fitbit App
2026-06-03T23:49:00Z,1,0,0,Fitbit App
2026-06-04T01:22:00Z,1,0,0,Fitbit App
2026-06-04T03:12:00Z,1,0,0,Fitbit App
2026-06-04T04:54:00Z,1,0,0,Fitbit App
2026-06-04T04:55:00Z,1,0,0,Fitbit App
2026-06-04T05:14:00Z,1,0,0,Fitbit App
2026-06-04T06:16:00Z,1,0,0,Fitbit App
2026-06-04T06:57:00Z,1,0,0,Fitbit App
2026-06-04T07:09:00Z,1,0,0,Fitbit App
2026-06-04T07:54:00Z,1,0,0,Fitbit App
2026-06-04T07:55:00Z,1,0,0,Fitbit App
2026-06-04T08:25:00Z,1,0,0,Fitbit App
2026-06-04T08:26:00Z,1,0,0,Fitbit App
2026-06-04T08:28:00Z,1,0,0,Fitbit App
2026-06-04T08:29:00Z,1,0,0,Fitbit App
2026-06-04T08:30:00Z,1,0,0,Fitbit App
2026-06-04T08:39:00Z,1,0,0,Fitbit App
2026-06-04T08:41:00Z,0,0,1,Fitbit App
2026-06-04T08:42:00Z,0,0,1,Fitbit App
2026-06-04T08:43:00Z,0,0,1,Fitbit App
2026-06-04T08:44:00Z,0,0,1,Fitbit App
2026-06-04T08:45:00Z,0,0,1,Fitbit App
2026-06-04T08:46:00Z,0,0,1,Fitbit App
2026-06-04T08:47:00Z,0,0,1,Fitbit App
2026-06-04T08:48:00Z,0,1,0,Fitbit App
2026-06-04T08:49:00Z,0,1,0,Fitbit App
2026-06-04T08:50:00Z,0,0,1,Fitbit App
2026-06-04T08:51:00Z,0,0,1,Fitbit App
2026-06-04T08:52:00Z,0,0,1,Fitbit App
2026-06-04T08:53:00Z,0,0,1,Fitbit App
2026-06-04T08:54:00Z,0,0,1,Fitbit App
2026-06-04T08:55:00Z,0,1,0,Fitbit App
2026-06-04T08:56:00Z,0,1,0,Fitbit App
2026-06-04T08:57:00Z,1,0,0,Fitbit App
2026-06-04T08:58:00Z,1,0,0,Fitbit App
2026-06-04T09:32:00Z,1,0,0,Fitbit App
2026-06-04T09:33:00Z,1,0,0,Fitbit App
2026-06-04T09:34:00Z,1,0,0,Fitbit App
2026-06-04T09:35:00Z,1,0,0,Fitbit App
2026-06-04T09:36:00Z,1,0,0,Fitbit App
2026-06-04T09:37:00Z,1,0,0,Fitbit App
2026-06-04T09:38:00Z,1,0,0,Fitbit App
2026-06-04T09:39:00Z,1,0,0,Fitbit App
2026-06-04T09:40:00Z,1,0,0,Fitbit App
2026-06-04T09:41:00Z,1,0,0,Fitbit App
2026-06-04T09:42:00Z,1,0,0,Fitbit App
2026-06-04T09:43:00Z,1,0,0,Fitbit App
2026-06-04T09:46:00Z,1,0,0,Fitbit App
2026-06-04T09:48:00Z,1,0,0,Fitbit App
2026-06-04T09:49:00Z,1,0,0,Fitbit App
2026-06-04T10:05:00Z,1,0,0,Fitbit App
2026-06-04T10:06:00Z,1,0,0,Fitbit App
2026-06-04T10:07:00Z,1,0,0,Fitbit App
2026-06-04T10:08:00Z,1,0,0,Fitbit App
2026-06-04T10:09:00Z,1,0,0,Fitbit App
2026-06-04T10:10:00Z,1,0,0,Fitbit App
2026-06-04T10:11:00Z,1,0,0,Fitbit App
2026-06-04T10:12:00Z,1,0,0,Fitbit App
2026-06-04T10:13:00Z,1,0,0,Fitbit App
2026-06-04T10:14:00Z,1,0,0,Fitbit App
2026-06-04T10:15:00Z,1,0,0,Fitbit App
2026-06-04T10:18:00Z,1,0,0,Fitbit App
2026-06-04T10:19:00Z,1,0,0,Fitbit App
2026-06-04T10:20:00Z,1,0,0,Fitbit App
2026-06-04T10:21:00Z,1,0,0,Fitbit App
2026-06-04T10:22:00Z,1,0,0,Fitbit App
2026-06-04T10:23:00Z,1,0,0,Fitbit App
2026-06-04T10:24:00Z,1,0,0,Fitbit App
2026-06-04T10:29:00Z,1,0,0,Fitbit App
2026-06-04T10:34:00Z,1,0,0,Fitbit App
2026-06-04T10:35:00Z,1,0,0,Fitbit App
2026-06-04T10:36:00Z,1,0,0,Fitbit App
2026-06-04T10:37:00Z,1,0,0,Fitbit App
2026-06-04T10:38:00Z,1,0,0,Fitbit App
2026-06-04T10:39:00Z,1,0,0,Fitbit App
2026-06-04T10:40:00Z,1,0,0,Fitbit App
2026-06-04T10:41:00Z,1,0,0,Fitbit App
2026-06-04T10:42:00Z,1,0,0,Fitbit App
2026-06-04T10:43:00Z,1,0,0,Fitbit App
2026-06-04T10:44:00Z,1,0,0,Fitbit App
2026-06-04T10:45:00Z,1,0,0,Fitbit App
2026-06-04T10:46:00Z,1,0,0,Fitbit App
2026-06-04T10:47:00Z,1,0,0,Fitbit App
2026-06-04T10:48:00Z,1,0,0,Fitbit App
2026-06-04T10:49:00Z,1,0,0,Fitbit App
2026-06-04T10:50:00Z,1,0,0,Fitbit App
2026-06-04T10:51:00Z,1,0,0,Fitbit App
2026-06-04T10:52:00Z,1,0,0,Fitbit App
2026-06-04T10:53:00Z,0,1,0,Fitbit App
2026-06-04T10:54:00Z,1,0,0,Fitbit App
2026-06-04T10:55:00Z,0,1,0,Fitbit App
2026-06-04T10:56:00Z,1,0,0,Fitbit App
2026-06-04T10:57:00Z,0,1,0,Fitbit App
2026-06-04T10:58:00Z,0,1,0,Fitbit App
2026-06-04T10:59:00Z,0,1,0,Fitbit App
2026-06-04T11:00:00Z,0,1,0,Fitbit App
2026-06-04T11:01:00Z,0,1,0,Fitbit App
2026-06-04T11:02:00Z,0,1,0,Fitbit App
2026-06-04T11:03:00Z,0,1,0,Fitbit App
2026-06-04T11:04:00Z,0,1,0,Fitbit App
2026-06-04T11:05:00Z,1,0,0,Fitbit App
2026-06-04T11:06:00Z,1,0,0,Fitbit App
2026-06-04T11:07:00Z,0,1,0,Fitbit App
2026-06-04T11:08:00Z,0,1,0,Fitbit App
2026-06-04T11:09:00Z,0,1,0,Fitbit App
2026-06-04T11:10:00Z,0,1,0,Fitbit App
2026-06-04T11:11:00Z,0,1,0,Fitbit App
2026-06-04T11:12:00Z,0,1,0,Fitbit App
2026-06-04T11:13:00Z,0,0,1,Fitbit App
2026-06-04T11:14:00Z,0,0,1,Fitbit App
2026-06-04T11:15:00Z,0,1,0,Fitbit App
2026-06-04T11:16:00Z,0,1,0,Fitbit App
2026-06-04T11:17:00Z,0,1,0,Fitbit App
2026-06-04T11:18:00Z,0,0,1,Fitbit App
2026-06-04T11:19:00Z,0,0,1,Fitbit App
2026-06-04T11:20:00Z,0,0,1,Fitbit App
2026-06-04T11:21:00Z,0,0,1,Fitbit App
2026-06-04T11:22:00Z,0,0,1,Fitbit App
2026-06-04T11:23:00Z,0,0,1,Fitbit App
2026-06-04T11:24:00Z,0,0,1,Fitbit App
2026-06-04T11:25:00Z,1,0,0,Fitbit App
2026-06-04T11:35:00Z,1,0,0,Fitbit App
2026-06-04T11:57:00Z,1,0,0,Fitbit App
2026-06-04T11:58:00Z,1,0,0,Fitbit App
2026-06-04T11:59:00Z,1,0,0,Fitbit App
2026-06-04T12:00:00Z,1,0,0,Fitbit App
2026-06-04T12:01:00Z,1,0,0,Fitbit App
2026-06-04T12:02:00Z,1,0,0,Fitbit App
2026-06-04T12:03:00Z,1,0,0,Fitbit App
2026-06-04T12:04:00Z,1,0,0,Fitbit App
2026-06-04T12:05:00Z,1,0,0,Fitbit App
2026-06-04T12:06:00Z,1,0,0,Fitbit App
2026-06-04T12:07:00Z,1,0,0,Fitbit App
2026-06-04T12:08:00Z,1,0,0,Fitbit App
2026-06-04T13:08:00Z,1,0,0,Fitbit App
2026-06-04T13:09:00Z,1,0,0,Fitbit App
2026-06-04T13:10:00Z,1,0,0,Fitbit App
2026-06-04T13:11:00Z,1,0,0,Fitbit App
2026-06-04T13:12:00Z,1,0,0,Fitbit App
2026-06-04T13:29:00Z,1,0,0,Fitbit App
2026-06-04T13:30:00Z,1,0,0,Fitbit App
2026-06-04T13:31:00Z,1,0,0,Fitbit App
2026-06-04T13:56:00Z,1,0,0,Fitbit App
2026-06-04T14:03:00Z,1,0,0,Fitbit App
2026-06-04T14:04:00Z,1,0,0,Fitbit App
2026-06-04T14:29:00Z,1,0,0,Fitbit App
2026-06-04T14:30:00Z,1,0,0,Fitbit App
2026-06-04T14:32:00Z,1,0,0,Fitbit App
2026-06-04T14:33:00Z,1,0,0,Fitbit App
2026-06-04T14:34:00Z,1,0,0,Fitbit App
2026-06-04T14:35:00Z,1,0,0,Fitbit App
2026-06-04T14:36:00Z,1,0,0,Fitbit App
2026-06-04T14:37:00Z,1,0,0,Fitbit App
2026-06-04T14:38:00Z,1,0,0,Fitbit App
2026-06-04T14:39:00Z,1,0,0,Fitbit App
2026-06-04T14:40:00Z,1,0,0,Fitbit App
2026-06-04T14:41:00Z,1,0,0,Fitbit App
2026-06-04T14:42:00Z,1,0,0,Fitbit App
2026-06-04T14:43:00Z,1,0,0,Fitbit App
2026-06-04T14:44:00Z,1,0,0,Fitbit App
2026-06-04T14:45:00Z,1,0,0,Fitbit App
2026-06-04T14:46:00Z,1,0,0,Fitbit App
2026-06-04T14:47:00Z,1,0,0,Fitbit App
2026-06-04T14:48:00Z,1,0,0,Fitbit App
2026-06-04T14:49:00Z,1,0,0,Fitbit App
2026-06-04T14:50:00Z,1,0,0,Fitbit App
2026-06-04T14:51:00Z,1,0,0,Fitbit App
2026-06-04T14:52:00Z,1,0,0,Fitbit App
2026-06-04T14:53:00Z,1,0,0,Fitbit App
2026-06-04T14:54:00Z,1,0,0,Fitbit App
2026-06-04T14:55:00Z,1,0,0,Fitbit App
2026-06-04T15:07:00Z,1,0,0,Fitbit App
2026-06-04T16:17:00Z,1,0,0,Fitbit App
2026-06-04T16:33:00Z,1,0,0,Fitbit App
2026-06-04T16:34:00Z,1,0,0,Fitbit App
2026-06-04T16:45:00Z,1,0,0,Fitbit App
2026-06-04T16:46:00Z,1,0,0,Fitbit App
2026-06-04T17:30:00Z,1,0,0,Fitbit App
2026-06-04T17:31:00Z,1,0,0,Fitbit App
2026-06-04T17:33:00Z,1,0,0,Fitbit App
2026-06-04T17:35:00Z,1,0,0,Fitbit App
2026-06-04T17:42:00Z,1,0,0,Fitbit App
2026-06-04T17:45:00Z,1,0,0,Fitbit App
2026-06-04T17:52:00Z,1,0,0,Fitbit App
2026-06-04T17:53:00Z,1,0,0,Fitbit App
2026-06-04T17:57:00Z,1,0,0,Fitbit App
2026-06-04T18:09:00Z,1,0,0,Fitbit App
2026-06-04T18:15:00Z,1,0,0,Fitbit App
2026-06-04T18:16:00Z,1,0,0,Fitbit App
2026-06-04T18:17:00Z,1,0,0,Fitbit App
2026-06-04T18:18:00Z,1,0,0,Fitbit App
2026-06-04T18:37:00Z,1,0,0,Fitbit App
2026-06-04T19:10:00Z,1,0,0,Fitbit App
2026-06-04T19:22:00Z,1,0,0,Fitbit App
2026-06-04T19:23:00Z,1,0,0,Fitbit App
2026-06-04T19:24:00Z,1,0,0,Fitbit App
2026-06-04T19:25:00Z,1,0,0,Fitbit App
2026-06-04T19:26:00Z,1,0,0,Fitbit App
2026-06-04T19:28:00Z,1,0,0,Fitbit App
2026-06-04T19:29:00Z,1,0,0,Fitbit App
2026-06-04T19:33:00Z,1,0,0,Fitbit App
2026-06-04T19:34:00Z,1,0,0,Fitbit App
2026-06-04T19:35:00Z,1,0,0,Fitbit App
2026-06-04T19:36:00Z,1,0,0,Fitbit App
2026-06-04T19:37:00Z,1,0,0,Fitbit App
2026-06-04T19:59:00Z,1,0,0,Fitbit App
2026-06-04T20:00:00Z,1,0,0,Fitbit App
2026-06-04T20:07:00Z,1,0,0,Fitbit App
2026-06-04T20:19:00Z,1,0,0,Fitbit App
2026-06-05T01:52:00Z,1,0,0,Fitbit App
