timestamp,oxygen saturation percentage,data source
2026-06-02T23:13:07Z,50.0,Versa 4
2026-06-02T23:14:07Z,86.9,Versa 4
2026-06-02T23:15:07Z,88.5,Versa 4
2026-06-02T23:16:07Z,88.1,Versa 4
2026-06-02T23:17:07Z,88.8,Versa 4
2026-06-02T23:18:07Z,90.8,Versa 4
2026-06-02T23:19:07Z,91.9,Versa 4
2026-06-02T23:20:07Z,92.9,Versa 4
2026-06-02T23:21:07Z,92.4,Versa 4
2026-06-02T23:22:07Z,93.5,Versa 4
2026-06-02T23:23:07Z,93.8,Versa 4
2026-06-02T23:24:07Z,94.8,Versa 4
2026-06-02T23:25:07Z,94.1,Versa 4
2026-06-02T23:26:07Z,95.7,Versa 4
2026-06-02T23:27:07Z,95.7,Versa 4
2026-06-02T23:28:07Z,95.4,Versa 4
2026-06-02T23:29:07Z,95.5,Versa 4
2026-06-02T23:30:07Z,96.1,Versa 4
2026-06-02T23:31:07Z,50.0,Versa 4
2026-06-02T23:32:07Z,94.8,Versa 4
2026-06-02T23:33:07Z,93.7,Versa 4
2026-06-02T23:34:07Z,92.6,Versa 4
2026-06-02T23:35:07Z,92.5,Versa 4
2026-06-02T23:36:07Z,92.2,Versa 4
2026-06-02T23:37:07Z,92.0,Versa 4
2026-06-02T23:38:07Z,92.4,Versa 4
2026-06-02T23:39:07Z,92.2,Versa 4
2026-06-02T23:40:07Z,92.1,Versa 4
2026-06-02T23:41:07Z,92.1,Versa 4
2026-06-02T23:42:07Z,92.5,Versa 4
2026-06-02T23:43:07Z,50.0,Versa 4
2026-06-02T23:44:07Z,93.3,Versa 4
2026-06-02T23:45:07Z,50.0,Versa 4
2026-06-02T23:46:07Z,50.0,Versa 4
2026-06-02T23:47:07Z,92.1,Versa 4
2026-06-02T23:48:07Z,91.4,Versa 4
2026-06-02T23:49:07Z,91.7,Versa 4
2026-06-02T23:50:07Z,92.4,Versa 4
2026-06-02T23:51:07Z,93.2,Versa 4
2026-06-02T23:52:07Z,94.0,Versa 4
2026-06-02T23:53:07Z,94.7,Versa 4
2026-06-02T23:54:07Z,95.0,Versa 4
2026-06-02T23:55:07Z,95.5,Versa 4
2026-06-02T23:56:07Z,95.8,Versa 4
2026-06-02T23:57:07Z,96.0,Versa 4
2026-06-02T23:58:07Z,96.4,Versa 4
2026-06-02T23:59:07Z,50.0,Versa 4
2026-06-03T00:00:07Z,95.6,Versa 4
2026-06-03T00:01:07Z,95.1,Versa 4
2026-06-03T00:02:07Z,94.7,Versa 4
2026-06-03T00:03:07Z,94.4,Versa 4
