timestamp,level,data source
2026-06-02T14:42:00Z,SEDENTARY,Fitbit App
2026-06-02T14:43:00Z,SEDENTARY,Fitbit App
2026-06-02T14:44:00Z,SEDENTARY,Fitbit App
2026-06-02T14:45:00Z,SEDENTARY,Fitbit App
2026-06-02T14:46:00Z,SEDENTARY,Fitbit App
2026-06-02T14:47:00Z,SEDENTARY,Fitbit App
2026-06-02T14:48:00Z,SEDENTARY,Fitbit App
2026-06-02T14:49:00Z,SEDENTARY,Fitbit App
2026-06-02T14:50:00Z,SEDENTARY,Fitbit App
2026-06-02T14:51:00Z,SEDENTARY,Fitbit App
2026-06-02T14:52:00Z,SEDENTARY,Fitbit App
2026-06-02T14:53:00Z,SEDENTARY,Fitbit App
2026-06-02T14:54:00Z,SEDENTARY,Fitbit App
2026-06-02T14:55:00Z,SEDENTARY,Fitbit App
2026-06-02T14:56:00Z,SEDENTARY,Fitbit App
2026-06-02T14:57:00Z,SEDENTARY,Fitbit App
2026-06-02T14:58:00Z,SEDENTARY,Fitbit App
2026-06-02T14:59:00Z,SEDENTARY,Fitbit App
2026-06-02T15:00:00Z,SEDENTARY,Fitbit App
2026-06-02T15:01:00Z,SEDENTARY,Fitbit App
2026-06-02T15:02:00Z,SEDENTARY,Fitbit App
2026-06-02T15:03:00Z,SEDENTARY,Fitbit App
2026-06-02T15:04:00Z,SEDENTARY,Fitbit App
2026-06-02T15:05:00Z,SEDENTARY,Fitbit App
2026-06-02T15:06:00Z,SEDENTARY,Fitbit App
2026-06-02T15:07:00Z,SEDENTARY,Fitbit App
2026-06-02T15:08:00Z,SEDENTARY,Fitbit App
2026-06-02T15:09:00Z,SEDENTARY,Fitbit App
2026-06-02T15:10:00Z,SEDENTARY,Fitbit App
2026-06-02T15:11:00Z,SEDENTARY,Fitbit App
2026-06-02T15:12:00Z,SEDENTARY,Fitbit App
2026-06-02T15:13:00Z,SEDENTARY,Fitbit App
2026-06-02T15:14:00Z,SEDENTARY,Fitbit App
2026-06-02T15:15:00Z,SEDENTARY,Fitbit App
2026-06-02T15:16:00Z,SEDENTARY,Fitbit App
2026-06-02T15:17:00Z,SEDENTARY,Fitbit App
2026-06-02T15:18:00Z,SEDENTARY,Fitbit App
2026-06-02T15:19:00Z,SEDENTARY,Fitbit App
2026-06-02T15:20:00Z,SEDENTARY,Fitbit App
