timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-05-09T22:55:00Z,15.8,0.0,Fitbit App
2026-05-09T23:00:00Z,15.7,0.0,Fitbit App
2026-05-09T23:05:00Z,16.2,0.0,Fitbit App
2026-05-09T23:10:00Z,15.9,0.0,Fitbit App
2026-05-09T23:15:00Z,20.9,0.0,Fitbit App
2026-05-09T23:20:00Z,16.7,0.0,Fitbit App
2026-05-09T23:25:00Z,19.5,0.0,Fitbit App
2026-05-09T23:30:00Z,21.4,0.0,Fitbit App
2026-05-09T23:35:00Z,12.9,0.0,Fitbit App
2026-05-09T23:40:00Z,10.9,0.0,Fitbit App
2026-05-09T23:45:00Z,12.4,0.0,Fitbit App
2026-05-09T23:50:00Z,11.3,0.0,Fitbit App
2026-05-09T23:55:00Z,15.6,0.0,Fitbit App
2026-05-10T00:00:00Z,13.8,0.0,Fitbit App
2026-05-10T00:05:00Z,13.2,0.0,Fitbit App
2026-05-10T00:10:00Z,13.1,0.0,Fitbit App
2026-05-10T00:15:00Z,13.0,0.0,Fitbit App
2026-05-10T00:20:00Z,21.1,0.0,Fitbit App
2026-05-10T00:25:00Z,20.8,0.0,Fitbit App
2026-05-10T00:30:00Z,25.7,0.0,Fitbit App
2026-05-10T00:35:00Z,28.5,0.0,Fitbit App
2026-05-10T00:40:00Z,29.2,0.0,Fitbit App
2026-05-10T00:45:00Z,27.0,0.0,Fitbit App
2026-05-10T00:50:00Z,31.4,0.0,Fitbit App
2026-05-10T00:55:00Z,25.0,0.0,Fitbit App
2026-05-10T01:00:00Z,25.5,0.0,Fitbit App
2026-05-10T01:05:00Z,27.1,0.0,Fitbit App
2026-05-10T01:10:00Z,27.9,0.0,Fitbit App
2026-05-10T01:15:00Z,31.6,0.0,Fitbit App
2026-05-10T01:20:00Z,26.7,0.0,Fitbit App
2026-05-10T01:25:00Z,24.0,0.0,Fitbit App
2026-05-10T01:30:00Z,17.4,0.0,Fitbit App
2026-05-10T01:35:00Z,34.5,0.0,Fitbit App
2026-05-10T01:40:00Z,31.2,0.0,Fitbit App
2026-05-10T01:45:00Z,26.9,0.0,Fitbit App
2026-05-10T01:50:00Z,34.0,0.0,Fitbit App
2026-05-10T01:55:00Z,31.5,0.0,Fitbit App
2026-05-10T02:00:00Z,34.2,0.0,Fitbit App
2026-05-10T02:05:00Z,33.7,0.0,Fitbit App
2026-05-10T02:10:00Z,36.0,0.0,Fitbit App
2026-05-10T02:15:00Z,32.3,0.0,Fitbit App
2026-05-10T02:20:00Z,36.8,0.0,Fitbit App
2026-05-10T02:25:00Z,29.0,0.0,Fitbit App
2026-05-10T02:30:00Z,29.3,0.0,Fitbit App
2026-05-10T02:35:00Z,29.5,0.0,Fitbit App
2026-05-10T02:40:00Z,31.1,0.0,Fitbit App
2026-05-10T02:45:00Z,30.1,0.0,Fitbit App
2026-05-10T02:50:00Z,31.3,0.0,Fitbit App
2026-05-10T02:55:00Z,33.9,0.0,Fitbit App
2026-05-10T03:00:00Z,33.5,0.0,Fitbit App
2026-05-10T03:05:00Z,34.1,0.0,Fitbit App
2026-05-10T03:10:00Z,19.9,0.0,Fitbit App
2026-05-10T03:15:00Z,35.2,0.0,Fitbit App
2026-05-10T03:20:00Z,33.7,0.0,Fitbit App
2026-05-10T03:25:00Z,33.0,0.0,Fitbit App
2026-05-10T03:30:00Z,28.9,0.0,Fitbit App
2026-05-10T03:35:00Z,35.4,0.0,Fitbit App
2026-05-10T03:40:00Z,34.0,0.0,Fitbit App
2026-05-10T03:45:00Z,40.2,0.0,Fitbit App
2026-05-10T03:50:00Z,32.8,0.0,Fitbit App
2026-05-10T03:55:00Z,30.7,0.0,Fitbit App
2026-05-10T04:00:00Z,31.6,0.0,Fitbit App
2026-05-10T04:05:00Z,37.1,0.0,Fitbit App
2026-05-10T04:10:00Z,43.5,0.0,Fitbit App
2026-05-10T04:15:00Z,42.1,0.0,Fitbit App
2026-05-10T04:20:00Z,37.8,0.0,Fitbit App
2026-05-10T04:25:00Z,38.3,0.0,Fitbit App
2026-05-10T04:30:00Z,41.8,0.0,Fitbit App
2026-05-10T04:35:00Z,40.3,0.0,Fitbit App
2026-05-10T04:40:00Z,40.1,0.0,Fitbit App
2026-05-10T04:45:00Z,39.9,0.0,Fitbit App
2026-05-10T04:50:00Z,32.1,0.0,Fitbit App
2026-05-10T04:55:00Z,27.9,0.0,Fitbit App
2026-05-10T05:00:00Z,40.2,0.0,Fitbit App
2026-05-10T05:05:00Z,45.7,0.0,Fitbit App
2026-05-10T05:10:00Z,36.7,0.0,Fitbit App
2026-05-10T05:15:00Z,29.6,0.0,Fitbit App
2026-05-10T05:20:00Z,38.7,0.0,Fitbit App
2026-05-10T05:25:00Z,40.4,0.0,Fitbit App
2026-05-10T05:30:00Z,29.1,0.0,Fitbit App
2026-05-10T05:35:00Z,31.6,0.0,Fitbit App
2026-05-10T05:40:00Z,35.1,0.0,Fitbit App
2026-05-10T05:45:00Z,41.0,0.0,Fitbit App
2026-05-10T05:50:00Z,56.7,0.0,Fitbit App
2026-05-10T05:55:00Z,47.6,0.0,Fitbit App
2026-05-10T06:00:00Z,42.0,0.0,Fitbit App
2026-05-10T06:05:00Z,37.1,0.0,Fitbit App
2026-05-10T06:10:00Z,37.5,0.0,Fitbit App
2026-05-10T06:15:00Z,38.4,0.0,Fitbit App
2026-05-10T06:20:00Z,33.9,0.0,Fitbit App
2026-05-10T06:25:00Z,33.5,0.0,Fitbit App
