timestamp,oxygen saturation percentage,data source
2026-06-01T02:54:04Z,100.0,Versa 4
2026-06-01T02:55:04Z,100.0,Versa 4
2026-06-01T02:56:04Z,100.0,Versa 4
2026-06-01T02:57:04Z,100.0,Versa 4
2026-06-01T02:58:04Z,100.0,Versa 4
2026-06-01T02:59:04Z,100.0,Versa 4
2026-06-01T03:00:04Z,100.0,Versa 4
2026-06-01T03:01:04Z,100.0,Versa 4
2026-06-01T03:02:04Z,100.0,Versa 4
2026-06-01T03:03:04Z,100.0,Versa 4
2026-06-01T03:04:04Z,100.0,Versa 4
2026-06-01T03:05:04Z,99.9,Versa 4
2026-06-01T03:06:04Z,98.1,Versa 4
2026-06-01T03:07:04Z,96.1,Versa 4
2026-06-01T03:08:04Z,95.5,Versa 4
2026-06-01T03:09:04Z,95.8,Versa 4
2026-06-01T03:10:04Z,95.4,Versa 4
2026-06-01T03:11:04Z,92.7,Versa 4
2026-06-01T03:12:04Z,90.7,Versa 4
2026-06-01T03:13:04Z,89.6,Versa 4
2026-06-01T03:14:04Z,50.0,Versa 4
2026-06-01T03:15:04Z,88.9,Versa 4
2026-06-01T03:16:04Z,90.7,Versa 4
2026-06-01T03:17:04Z,92.1,Versa 4
2026-06-01T03:18:04Z,93.4,Versa 4
2026-06-01T03:19:04Z,93.6,Versa 4
2026-06-01T03:20:04Z,94.3,Versa 4
2026-06-01T03:21:04Z,95.3,Versa 4
2026-06-01T03:22:04Z,96.7,Versa 4
2026-06-01T03:23:04Z,96.4,Versa 4
2026-06-01T03:24:04Z,96.7,Versa 4
2026-06-01T03:25:04Z,97.5,Versa 4
2026-06-01T03:26:04Z,98.3,Versa 4
2026-06-01T03:27:04Z,50.0,Versa 4
2026-06-01T03:28:04Z,98.0,Versa 4
2026-06-01T03:29:04Z,97.9,Versa 4
2026-06-01T03:30:04Z,98.3,Versa 4
2026-06-01T03:31:04Z,98.4,Versa 4
2026-06-01T03:32:04Z,98.7,Versa 4
2026-06-01T03:33:04Z,98.7,Versa 4
2026-06-01T03:34:04Z,99.5,Versa 4
2026-06-01T03:35:04Z,100.0,Versa 4
2026-06-01T03:36:04Z,100.0,Versa 4
2026-06-01T03:37:04Z,100.0,Versa 4
2026-06-01T03:38:04Z,100.0,Versa 4
2026-06-01T03:39:04Z,100.0,Versa 4
2026-06-01T03:40:04Z,100.0,Versa 4
2026-06-01T03:41:04Z,100.0,Versa 4
2026-06-01T03:42:04Z,100.0,Versa 4
2026-06-01T03:43:04Z,50.0,Versa 4
2026-06-01T03:44:04Z,99.8,Versa 4
2026-06-01T03:45:04Z,98.6,Versa 4
2026-06-01T03:46:04Z,97.7,Versa 4
2026-06-01T03:47:04Z,96.9,Versa 4
2026-06-01T03:48:04Z,96.5,Versa 4
2026-06-01T03:49:04Z,50.0,Versa 4
2026-06-01T03:50:04Z,96.4,Versa 4
2026-06-01T03:51:04Z,97.0,Versa 4
2026-06-01T03:52:04Z,97.7,Versa 4
2026-06-01T03:53:04Z,98.5,Versa 4
2026-06-01T03:54:04Z,98.9,Versa 4
2026-06-01T03:55:04Z,98.9,Versa 4
2026-06-01T03:56:04Z,98.6,Versa 4
2026-06-01T03:57:04Z,98.4,Versa 4
2026-06-01T03:58:04Z,50.0,Versa 4
2026-06-01T03:59:04Z,97.9,Versa 4
2026-06-01T04:00:04Z,97.6,Versa 4
2026-06-01T04:01:04Z,97.4,Versa 4
2026-06-01T04:02:04Z,97.4,Versa 4
2026-06-01T04:03:04Z,97.3,Versa 4
2026-06-01T04:04:04Z,97.3,Versa 4
2026-06-01T04:05:04Z,97.3,Versa 4
2026-06-01T04:06:04Z,97.4,Versa 4
2026-06-01T04:07:04Z,97.4,Versa 4
2026-06-01T04:08:04Z,97.4,Versa 4
2026-06-01T04:09:04Z,97.5,Versa 4
2026-06-01T04:10:04Z,97.4,Versa 4
2026-06-01T04:11:04Z,97.5,Versa 4
2026-06-01T04:12:04Z,97.4,Versa 4
2026-06-01T04:13:04Z,97.5,Versa 4
2026-06-01T04:14:04Z,97.5,Versa 4
2026-06-01T04:15:04Z,97.4,Versa 4
2026-06-01T04:16:04Z,97.3,Versa 4
2026-06-01T04:17:04Z,97.4,Versa 4
2026-06-01T04:18:04Z,97.5,Versa 4
2026-06-01T04:19:04Z,97.5,Versa 4
2026-06-01T04:20:04Z,97.5,Versa 4
2026-06-01T04:21:04Z,50.0,Versa 4
2026-06-01T04:22:04Z,97.3,Versa 4
2026-06-01T04:23:04Z,97.1,Versa 4
2026-06-01T04:24:04Z,97.0,Versa 4
2026-06-01T04:25:04Z,97.0,Versa 4
2026-06-01T04:26:04Z,96.9,Versa 4
2026-06-01T04:27:04Z,97.0,Versa 4
2026-06-01T04:28:04Z,97.1,Versa 4
2026-06-01T04:29:04Z,97.1,Versa 4
2026-06-01T04:30:04Z,97.1,Versa 4
2026-06-01T04:31:04Z,97.2,Versa 4
2026-06-01T04:32:04Z,97.1,Versa 4
2026-06-01T04:33:04Z,97.1,Versa 4
2026-06-01T04:34:04Z,97.2,Versa 4
2026-06-01T04:35:04Z,97.2,Versa 4
2026-06-01T04:36:04Z,97.2,Versa 4
2026-06-01T04:37:04Z,97.3,Versa 4
2026-06-01T04:38:04Z,97.3,Versa 4
2026-06-01T04:39:04Z,97.3,Versa 4
2026-06-01T04:40:04Z,97.3,Versa 4
2026-06-01T04:41:04Z,97.3,Versa 4
2026-06-01T04:42:04Z,97.3,Versa 4
2026-06-01T04:43:04Z,97.4,Versa 4
2026-06-01T04:44:04Z,97.4,Versa 4
2026-06-01T04:45:04Z,97.4,Versa 4
2026-06-01T04:46:04Z,97.5,Versa 4
2026-06-01T04:47:04Z,97.4,Versa 4
2026-06-01T04:48:04Z,97.4,Versa 4
2026-06-01T04:49:04Z,97.5,Versa 4
2026-06-01T04:50:04Z,97.5,Versa 4
2026-06-01T04:51:04Z,97.5,Versa 4
2026-06-01T04:52:04Z,97.5,Versa 4
2026-06-01T04:53:04Z,97.6,Versa 4
2026-06-01T04:54:04Z,97.5,Versa 4
2026-06-01T04:55:04Z,97.5,Versa 4
2026-06-01T04:56:04Z,97.6,Versa 4
2026-06-01T04:57:04Z,97.6,Versa 4
2026-06-01T04:58:04Z,97.7,Versa 4
2026-06-01T04:59:04Z,97.7,Versa 4
2026-06-01T05:00:04Z,50.0,Versa 4
2026-06-01T05:01:04Z,97.8,Versa 4
2026-06-01T05:02:04Z,98.1,Versa 4
2026-06-01T05:03:04Z,98.0,Versa 4
2026-06-01T05:04:04Z,97.9,Versa 4
2026-06-01T05:05:04Z,50.0,Versa 4
2026-06-01T05:06:04Z,97.5,Versa 4
2026-06-01T05:07:04Z,94.5,Versa 4
2026-06-01T05:08:04Z,93.1,Versa 4
2026-06-01T05:09:04Z,92.0,Versa 4
2026-06-01T05:10:04Z,90.7,Versa 4
2026-06-01T05:11:04Z,50.0,Versa 4
2026-06-01T05:12:04Z,89.0,Versa 4
2026-06-01T05:13:04Z,83.7,Versa 4
2026-06-01T05:14:04Z,50.0,Versa 4
2026-06-01T05:15:04Z,80.7,Versa 4
2026-06-01T05:16:04Z,86.2,Versa 4
2026-06-01T05:17:04Z,50.0,Versa 4
2026-06-01T05:18:04Z,50.0,Versa 4
2026-06-01T05:19:04Z,93.8,Versa 4
2026-06-01T05:20:04Z,94.1,Versa 4
2026-06-01T05:21:04Z,91.7,Versa 4
2026-06-01T05:22:04Z,86.0,Versa 4
2026-06-01T05:23:04Z,85.7,Versa 4
2026-06-01T05:24:04Z,84.9,Versa 4
2026-06-01T05:25:04Z,87.1,Versa 4
2026-06-01T05:26:04Z,84.6,Versa 4
2026-06-01T05:27:04Z,85.0,Versa 4
2026-06-01T05:28:04Z,86.5,Versa 4
2026-06-01T05:29:04Z,50.0,Versa 4
2026-06-01T05:30:04Z,85.6,Versa 4
2026-06-01T05:31:04Z,86.4,Versa 4
2026-06-01T05:32:04Z,85.6,Versa 4
2026-06-01T05:33:04Z,88.0,Versa 4
2026-06-01T05:34:04Z,91.2,Versa 4
2026-06-01T05:35:04Z,93.7,Versa 4
2026-06-01T05:36:04Z,93.9,Versa 4
2026-06-01T05:37:04Z,95.2,Versa 4
2026-06-01T05:38:04Z,96.3,Versa 4
2026-06-01T05:39:04Z,50.0,Versa 4
2026-06-01T05:40:04Z,97.9,Versa 4
2026-06-01T05:41:04Z,98.3,Versa 4
2026-06-01T05:42:04Z,99.5,Versa 4
2026-06-01T05:43:04Z,100.0,Versa 4
2026-06-01T05:44:04Z,100.0,Versa 4
2026-06-01T05:45:04Z,100.0,Versa 4
2026-06-01T05:46:04Z,100.0,Versa 4
2026-06-01T05:47:04Z,100.0,Versa 4
2026-06-01T05:48:04Z,50.0,Versa 4
2026-06-01T05:49:04Z,100.0,Versa 4
