start time,end time,data source
2026-05-19T08:03:00Z,2026-05-19T09:26:00Z,Fitbit App
2026-05-19T11:22:00Z,2026-05-19T11:38:00Z,Fitbit App
2026-05-19T11:43:00Z,2026-05-19T11:55:00Z,Fitbit App
2026-05-19T12:23:00Z,2026-05-19T12:50:00Z,Fitbit App
2026-05-19T13:19:00Z,2026-05-19T13:40:00Z,Fitbit App
2026-05-19T14:02:00Z,2026-05-19T15:15:00Z,Fitbit App
2026-05-19T15:33:00Z,2026-05-19T16:03:00Z,Fitbit App
2026-05-19T16:04:00Z,2026-05-19T16:30:00Z,Fitbit App
2026-05-19T16:43:00Z,2026-05-19T16:53:00Z,Fitbit App
2026-05-19T18:35:00Z,2026-05-19T18:51:00Z,Fitbit App
2026-05-19T19:18:00Z,2026-05-19T20:24:00Z,Fitbit App
2026-05-19T20:40:00Z,2026-05-19T22:00:00Z,Fitbit App
2026-05-19T22:00:00Z,2026-05-19T22:15:00Z,Fitbit App
2026-05-19T22:21:00Z,2026-05-19T22:40:00Z,Fitbit App
