timestamp,min observed load,max observed load,data source
2026-05-06,0.0,50.0,Fitbit App
2026-05-07,0.0,50.0,Fitbit App
2026-05-08,0.0,50.0,Fitbit App
2026-05-09,0.0,50.0,Fitbit App
2026-05-10,0.0,50.0,Fitbit App
2026-05-11,0.0,50.0,Fitbit App
2026-05-12,0.0,50.0,Fitbit App
2026-05-13,0.0,50.0,Fitbit App
2026-05-14,0.0,50.0,Fitbit App
2026-05-15,0.0,50.0,Fitbit App
2026-05-16,6.672446291153853,54.003777557840976,Fitbit App
2026-05-17,6.672446291153853,54.003777557840976,Fitbit App
2026-05-18,6.672446291153853,54.003777557840976,Fitbit App
2026-05-19,6.672446291153853,54.003777557840976,Fitbit App
2026-05-20,6.672446291153853,54.003777557840976,Fitbit App
2026-05-21,6.672446291153853,54.003777557840976,Fitbit App
2026-05-22,6.672446291153853,54.43164084444259,Fitbit App
2026-05-23,6.672446291153853,58.18637837935631,Fitbit App
2026-05-24,6.672446291153853,58.18637837935631,Fitbit App
2026-05-25,6.672446291153853,58.18637837935631,Fitbit App
2026-05-26,6.672446291153853,68.93362920643894,Fitbit App
2026-05-27,6.672446291153853,68.93362920643894,Fitbit App
2026-05-28,6.672446291153853,80.90664794104467,Fitbit App
2026-05-29,5.6703371051873495,80.90664794104467,Fitbit App
2026-05-30,6.672446291153853,80.90664794104467,Fitbit App
2026-05-31,6.672446291153853,80.90664794104467,Fitbit App
2026-06-01,6.672446291153853,80.90664794104467,Fitbit App
2026-06-02,6.672446291153853,80.90664794104467,Fitbit App
2026-06-03,6.672446291153853,83.63918411799806,Fitbit App
2026-06-04,6.843968063043627,83.63918411799806,Fitbit App
2026-06-05,6.843968063043627,83.63918411799806,Fitbit App
2026-06-06,6.843968063043627,83.63918411799806,Fitbit App
2026-06-07,6.843968063043627,83.63918411799806,Fitbit App
2026-06-08,8.618265007229844,83.63918411799806,Fitbit App
