start time,end time,data source
2026-06-02T03:25:00Z,2026-06-02T03:45:00Z,Fitbit App
2026-06-02T09:52:00Z,2026-06-02T11:08:00Z,Fitbit App
2026-06-02T11:54:00Z,2026-06-02T12:12:00Z,Fitbit App
2026-06-02T12:13:00Z,2026-06-02T13:52:00Z,Fitbit App
2026-06-02T14:12:00Z,2026-06-02T14:56:00Z,Fitbit App
2026-06-02T15:57:00Z,2026-06-02T16:37:00Z,Fitbit App
2026-06-02T16:41:00Z,2026-06-02T17:44:00Z,Fitbit App
2026-06-02T17:56:00Z,2026-06-02T18:37:00Z,Fitbit App
2026-06-02T18:41:00Z,2026-06-02T19:48:00Z,Fitbit App
2026-06-02T20:00:00Z,2026-06-02T20:34:00Z,Fitbit App
2026-06-02T21:36:00Z,2026-06-02T21:48:00Z,Fitbit App
2026-06-02T21:49:00Z,2026-06-02T22:00:00Z,Fitbit App
2026-06-02T22:00:00Z,2026-06-02T22:30:00Z,Fitbit App
2026-06-02T22:31:00Z,2026-06-02T23:14:00Z,Fitbit App
