start time,end time,data source
2026-05-12T06:37:00Z,2026-05-12T07:01:00Z,Fitbit App
2026-05-12T08:12:00Z,2026-05-12T08:46:00Z,Fitbit App
2026-05-12T09:55:00Z,2026-05-12T10:14:00Z,Fitbit App
2026-05-12T10:40:00Z,2026-05-12T11:30:00Z,Fitbit App
2026-05-12T11:31:00Z,2026-05-12T11:48:00Z,Fitbit App
2026-05-12T11:51:00Z,2026-05-12T12:16:00Z,Fitbit App
2026-05-12T12:59:00Z,2026-05-12T13:12:00Z,Fitbit App
2026-05-12T13:16:00Z,2026-05-12T13:41:00Z,Fitbit App
2026-05-12T14:01:00Z,2026-05-12T15:08:00Z,Fitbit App
2026-05-12T15:32:00Z,2026-05-12T17:05:00Z,Fitbit App
2026-05-12T18:17:00Z,2026-05-12T19:27:00Z,Fitbit App
2026-05-12T19:28:00Z,2026-05-12T19:55:00Z,Fitbit App
2026-05-12T19:56:00Z,2026-05-12T21:00:00Z,Fitbit App
2026-05-12T21:13:00Z,2026-05-12T21:23:00Z,Fitbit App
2026-05-12T21:24:00Z,2026-05-12T21:57:00Z,Fitbit App
2026-05-12T22:28:00Z,2026-05-12T22:41:00Z,Fitbit App
