timestamp,value
2026-05-17T01:04:34Z,99.3
2026-05-17T01:05:34Z,50.0
2026-05-17T01:06:34Z,50.0
2026-05-17T01:07:34Z,50.0
2026-05-17T01:08:34Z,50.0
2026-05-17T01:09:34Z,50.0
2026-05-17T01:10:34Z,98.4
2026-05-17T01:11:34Z,97.9
2026-05-17T01:12:34Z,97.3
2026-05-17T01:13:34Z,50.0
2026-05-17T01:14:34Z,50.0
2026-05-17T01:15:34Z,96.9
2026-05-17T01:16:34Z,96.9
2026-05-17T03:48:05Z,94.7
2026-05-17T03:49:05Z,94.8
2026-05-17T03:50:05Z,94.7
2026-05-17T03:51:05Z,94.7
2026-05-17T03:52:05Z,94.7
2026-05-17T03:53:05Z,94.6
2026-05-17T03:54:05Z,94.7
2026-05-17T03:55:05Z,94.6
2026-05-17T03:56:05Z,94.7
2026-05-17T03:57:05Z,94.7
2026-05-17T03:58:05Z,94.7
2026-05-17T03:59:05Z,50.0
2026-05-17T04:00:05Z,94.7
2026-05-17T04:01:05Z,94.4
2026-05-17T04:02:05Z,94.2
2026-05-17T04:03:05Z,94.0
2026-05-17T04:04:05Z,94.0
2026-05-17T04:05:05Z,94.1
2026-05-17T04:06:05Z,94.1
2026-05-17T04:07:05Z,94.1
2026-05-17T04:08:05Z,94.1
2026-05-17T04:09:05Z,94.0
2026-05-17T04:10:05Z,93.8
2026-05-17T04:11:05Z,93.8
2026-05-17T04:12:05Z,93.9
2026-05-17T04:13:05Z,94.0
2026-05-17T04:14:05Z,94.1
2026-05-17T04:15:05Z,94.1
2026-05-17T04:16:05Z,94.1
2026-05-17T04:17:05Z,94.1
2026-05-17T04:18:05Z,94.0
2026-05-17T04:19:05Z,93.9
2026-05-17T04:20:05Z,94.0
2026-05-17T04:21:05Z,93.9
2026-05-17T04:22:05Z,93.9
2026-05-17T04:23:05Z,93.8
2026-05-17T04:24:05Z,93.9
2026-05-17T04:25:05Z,94.0
2026-05-17T04:26:05Z,94.1
2026-05-17T04:27:05Z,94.2
2026-05-17T04:28:05Z,94.2
2026-05-17T04:29:05Z,94.2
2026-05-17T04:30:05Z,94.3
2026-05-17T04:31:05Z,94.3
2026-05-17T04:32:05Z,94.2
2026-05-17T04:33:05Z,94.2
2026-05-17T04:34:05Z,94.1
2026-05-17T04:35:05Z,94.0
2026-05-17T04:36:05Z,94.1
2026-05-17T04:37:05Z,50.0
2026-05-17T04:38:05Z,94.8
2026-05-17T04:39:05Z,95.3
2026-05-17T04:40:05Z,95.5
2026-05-17T04:41:05Z,50.0
2026-05-17T04:42:05Z,95.8
