start time,end time,data source
2026-06-05T06:08:00Z,2026-06-05T06:29:00Z,Fitbit App
2026-06-05T06:35:00Z,2026-06-05T08:20:00Z,Fitbit App
2026-06-05T10:09:00Z,2026-06-05T10:30:00Z,Fitbit App
2026-06-05T10:38:00Z,2026-06-05T10:51:00Z,Fitbit App
2026-06-05T12:38:00Z,2026-06-05T13:44:00Z,Fitbit App
2026-06-05T13:50:00Z,2026-06-05T14:06:00Z,Fitbit App
2026-06-05T14:36:00Z,2026-06-05T14:57:00Z,Fitbit App
2026-06-05T20:59:00Z,2026-06-05T21:18:00Z,Fitbit App
2026-06-05T21:23:00Z,2026-06-05T21:41:00Z,Fitbit App
2026-06-05T21:42:00Z,2026-06-05T22:00:00Z,Fitbit App
2026-06-05T22:13:00Z,2026-06-05T22:26:00Z,Fitbit App
2026-06-05T23:07:00Z,2026-06-05T23:22:00Z,Fitbit App
