start time,end time,data source
2026-05-23T07:13:00Z,2026-05-23T08:54:00Z,Fitbit App
2026-05-23T08:55:00Z,2026-05-23T09:06:00Z,Fitbit App
2026-05-23T09:08:00Z,2026-05-23T10:51:00Z,Fitbit App
2026-05-23T11:11:00Z,2026-05-23T12:07:00Z,Fitbit App
2026-05-23T12:11:00Z,2026-05-23T12:23:00Z,Fitbit App
2026-05-23T12:24:00Z,2026-05-23T12:51:00Z,Fitbit App
2026-05-23T12:54:00Z,2026-05-23T13:23:00Z,Fitbit App
2026-05-23T14:36:00Z,2026-05-23T14:47:00Z,Fitbit App
2026-05-23T14:53:00Z,2026-05-23T15:08:00Z,Fitbit App
2026-05-23T15:41:00Z,2026-05-23T15:53:00Z,Fitbit App
2026-05-23T16:00:00Z,2026-05-23T16:15:00Z,Fitbit App
2026-05-23T16:34:00Z,2026-05-23T16:46:00Z,Fitbit App
2026-05-23T16:47:00Z,2026-05-23T16:59:00Z,Fitbit App
2026-05-23T17:40:00Z,2026-05-23T17:57:00Z,Fitbit App
2026-05-23T17:58:00Z,2026-05-23T18:13:00Z,Fitbit App
2026-05-23T20:13:00Z,2026-05-23T20:40:00Z,Fitbit App
2026-05-23T22:07:00Z,2026-05-23T22:18:00Z,Fitbit App
