timestamp,root mean square of successive differences milliseconds,standard deviation milliseconds,data source
2026-05-09T02:40:00Z,38.8,0.0,Fitbit App
2026-05-09T02:45:00Z,39.8,0.0,Fitbit App
2026-05-09T02:50:00Z,50.1,0.0,Fitbit App
2026-05-09T03:00:00Z,65.9,0.0,Fitbit App
2026-05-09T03:05:00Z,65.7,0.0,Fitbit App
2026-05-09T03:10:00Z,59.7,0.0,Fitbit App
2026-05-09T03:15:00Z,62.5,0.0,Fitbit App
2026-05-09T03:30:00Z,44.8,0.0,Fitbit App
2026-05-09T03:35:00Z,40.3,0.0,Fitbit App
2026-05-09T03:40:00Z,45.9,0.0,Fitbit App
2026-05-09T03:45:00Z,33.9,0.0,Fitbit App
2026-05-09T03:50:00Z,35.5,0.0,Fitbit App
2026-05-09T03:55:00Z,52.5,0.0,Fitbit App
2026-05-09T04:15:00Z,48.4,0.0,Fitbit App
2026-05-09T04:20:00Z,51.6,0.0,Fitbit App
2026-05-09T04:25:00Z,52.0,0.0,Fitbit App
2026-05-09T04:30:00Z,49.5,0.0,Fitbit App
2026-05-09T04:35:00Z,49.5,0.0,Fitbit App
2026-05-09T04:45:00Z,53.2,0.0,Fitbit App
2026-05-09T04:50:00Z,50.3,0.0,Fitbit App
2026-05-09T04:55:00Z,44.0,0.0,Fitbit App
2026-05-09T05:00:00Z,42.7,0.0,Fitbit App
2026-05-09T05:05:00Z,41.6,0.0,Fitbit App
2026-05-09T05:10:00Z,38.4,0.0,Fitbit App
2026-05-09T05:15:00Z,48.2,0.0,Fitbit App
2026-05-09T05:20:00Z,47.1,0.0,Fitbit App
2026-05-09T05:25:00Z,38.2,0.0,Fitbit App
2026-05-09T05:40:00Z,45.7,0.0,Fitbit App
2026-05-09T05:45:00Z,48.7,0.0,Fitbit App
2026-05-09T05:50:00Z,47.8,0.0,Fitbit App
2026-05-09T05:55:00Z,48.3,0.0,Fitbit App
2026-05-09T06:00:00Z,47.0,0.0,Fitbit App
2026-05-09T06:05:00Z,45.5,0.0,Fitbit App
2026-05-09T06:20:00Z,56.2,0.0,Fitbit App
2026-05-09T06:25:00Z,43.6,0.0,Fitbit App
2026-05-09T06:30:00Z,47.3,0.0,Fitbit App
2026-05-09T06:35:00Z,43.5,0.0,Fitbit App
2026-05-09T06:40:00Z,46.7,0.0,Fitbit App
2026-05-09T06:45:00Z,48.8,0.0,Fitbit App
2026-05-09T06:50:00Z,51.8,0.0,Fitbit App
2026-05-09T06:55:00Z,47.1,0.0,Fitbit App
2026-05-09T07:00:00Z,47.8,0.0,Fitbit App
2026-05-09T07:05:00Z,43.0,0.0,Fitbit App
2026-05-09T07:10:00Z,34.6,0.0,Fitbit App
2026-05-09T07:15:00Z,27.7,0.0,Fitbit App
2026-05-09T07:20:00Z,30.4,0.0,Fitbit App
2026-05-09T07:25:00Z,24.9,0.0,Fitbit App
2026-05-09T07:35:00Z,32.1,0.0,Fitbit App
2026-05-09T07:40:00Z,30.7,0.0,Fitbit App
2026-05-09T07:45:00Z,41.2,0.0,Fitbit App
