start time,end time,data source
2026-05-18T14:43:00Z,2026-05-18T15:36:00Z,Fitbit App
2026-05-18T16:09:00Z,2026-05-18T16:24:00Z,Fitbit App
2026-05-18T16:29:00Z,2026-05-18T16:40:00Z,Fitbit App
2026-05-18T16:50:00Z,2026-05-18T17:06:00Z,Fitbit App
2026-05-18T17:24:00Z,2026-05-18T18:00:00Z,Fitbit App
2026-05-18T18:41:00Z,2026-05-18T20:05:00Z,Fitbit App
2026-05-18T20:06:00Z,2026-05-18T20:38:00Z,Fitbit App
2026-05-18T20:40:00Z,2026-05-18T21:17:00Z,Fitbit App
2026-05-18T21:19:00Z,2026-05-18T22:00:00Z,Fitbit App
2026-05-18T22:00:00Z,2026-05-18T22:25:00Z,Fitbit App
