timestamp,gain,data source
2026-06-01T09:27:00Z,9144,Versa 4
2026-06-01T09:28:00Z,6096,Versa 4
2026-06-01T09:29:00Z,3048,Versa 4
2026-06-01T09:32:00Z,3048,Versa 4
2026-06-01T09:33:00Z,6096,Versa 4
2026-06-01T09:39:00Z,3048,Versa 4
2026-06-01T09:59:00Z,3048,Versa 4
2026-06-01T10:01:00Z,3048,Versa 4
2026-06-01T10:05:00Z,3048,Versa 4
2026-06-01T10:12:00Z,3048,Versa 4
2026-06-01T10:16:00Z,3048,Versa 4
2026-06-01T10:20:00Z,6096,Versa 4
2026-06-01T10:21:00Z,3048,Versa 4
2026-06-01T10:22:00Z,6096,Versa 4
2026-06-01T10:23:00Z,9144,Versa 4
2026-06-01T10:24:00Z,24384,Versa 4
2026-06-01T10:25:00Z,12192,Versa 4
2026-06-01T10:26:00Z,6096,Versa 4
2026-06-01T10:27:00Z,6096,Versa 4
2026-06-01T10:28:00Z,6096,Versa 4
2026-06-01T10:29:00Z,6096,Versa 4
2026-06-01T10:30:00Z,6096,Versa 4
2026-06-01T10:31:00Z,3048,Versa 4
2026-06-01T10:32:00Z,15240,Versa 4
2026-06-01T10:33:00Z,3048,Versa 4
2026-06-01T12:06:00Z,3048,Versa 4
2026-06-01T12:09:00Z,3048,Versa 4
2026-06-01T12:10:00Z,3048,Versa 4
2026-06-01T12:13:00Z,3048,Versa 4
2026-06-01T12:31:00Z,3048,Versa 4
2026-06-01T13:57:00Z,3048,Versa 4
2026-06-01T14:07:00Z,3048,Versa 4
2026-06-01T14:18:00Z,3048,Versa 4
2026-06-01T14:56:00Z,3048,Versa 4
2026-06-01T15:09:00Z,3048,Versa 4
2026-06-01T15:17:00Z,3048,Versa 4
2026-06-01T16:26:00Z,3048,Versa 4
2026-06-01T16:27:00Z,3048,Versa 4
2026-06-01T16:33:00Z,3048,Versa 4
2026-06-01T16:47:00Z,3048,Versa 4
2026-06-01T17:15:00Z,3048,Versa 4
2026-06-01T17:19:00Z,3048,Versa 4
2026-06-01T22:01:00Z,3048,Versa 4
2026-06-02T11:14:00Z,3048,Versa 4
2026-06-02T11:41:00Z,3048,Versa 4
2026-06-02T13:53:00Z,3048,Versa 4
2026-06-02T13:58:00Z,3048,Versa 4
2026-06-02T14:09:00Z,3048,Versa 4
2026-06-02T15:26:00Z,3048,Versa 4
2026-06-02T15:56:00Z,3048,Versa 4
2026-06-02T17:45:00Z,3048,Versa 4
2026-06-02T18:38:00Z,3048,Versa 4
2026-06-02T19:52:00Z,3048,Versa 4
2026-06-02T19:55:00Z,3048,Versa 4
2026-06-02T20:34:00Z,3048,Versa 4
2026-06-02T20:35:00Z,3048,Versa 4
2026-06-02T21:48:00Z,3048,Versa 4
2026-06-02T23:30:00Z,3048,Versa 4
2026-06-02T23:43:00Z,3048,Versa 4
2026-06-02T23:59:00Z,3048,Versa 4
2026-06-03T10:25:00Z,3048,Versa 4
2026-06-03T10:46:00Z,3048,Versa 4
2026-06-03T10:48:00Z,3048,Versa 4
2026-06-03T10:49:00Z,3048,Versa 4
2026-06-03T10:56:00Z,6096,Versa 4
2026-06-03T10:57:00Z,3048,Versa 4
2026-06-03T11:01:00Z,3048,Versa 4
2026-06-03T11:02:00Z,3048,Versa 4
2026-06-03T11:03:00Z,3048,Versa 4
2026-06-03T11:07:00Z,6096,Versa 4
2026-06-03T11:16:00Z,3048,Versa 4
2026-06-03T11:19:00Z,6096,Versa 4
2026-06-03T11:21:00Z,6096,Versa 4
2026-06-03T11:23:00Z,3048,Versa 4
2026-06-03T11:30:00Z,3048,Versa 4
2026-06-03T13:00:00Z,3048,Versa 4
2026-06-03T13:01:00Z,3048,Versa 4
2026-06-03T15:06:00Z,3048,Versa 4
2026-06-03T18:32:00Z,3048,Versa 4
2026-06-03T18:35:00Z,3048,Versa 4
2026-06-03T18:57:00Z,3048,Versa 4
2026-06-03T20:29:00Z,3048,Versa 4
2026-06-03T23:16:00Z,3048,Versa 4
2026-06-04T12:43:00Z,3048,Versa 4
2026-06-04T14:20:00Z,3048,Versa 4
2026-06-04T15:40:00Z,3048,Versa 4
2026-06-04T16:00:00Z,9144,Versa 4
2026-06-04T16:01:00Z,9144,Versa 4
2026-06-04T16:02:00Z,3048,Versa 4
2026-06-04T16:03:00Z,9144,Versa 4
2026-06-04T16:05:00Z,3048,Versa 4
2026-06-04T16:09:00Z,3048,Versa 4
2026-06-04T16:10:00Z,3048,Versa 4
2026-06-04T16:24:00Z,3048,Versa 4
2026-06-04T16:25:00Z,6096,Versa 4
2026-06-04T17:11:00Z,3048,Versa 4
2026-06-04T17:12:00Z,6096,Versa 4
2026-06-04T17:27:00Z,3048,Versa 4
2026-06-04T17:36:00Z,6096,Versa 4
2026-06-04T17:37:00Z,21336,Versa 4
2026-06-04T17:38:00Z,6096,Versa 4
2026-06-04T17:50:00Z,3048,Versa 4
2026-06-04T17:51:00Z,3048,Versa 4
2026-06-04T18:00:00Z,3048,Versa 4
2026-06-04T18:51:00Z,3048,Versa 4
2026-06-04T19:27:00Z,3048,Versa 4
2026-06-04T19:31:00Z,3048,Versa 4
2026-06-04T23:04:00Z,3048,Versa 4
2026-06-04T23:05:00Z,3048,Versa 4
2026-06-05T06:21:00Z,3048,Versa 4
2026-06-05T06:28:00Z,3048,Versa 4
2026-06-05T06:35:00Z,3048,Versa 4
2026-06-05T06:41:00Z,3048,Versa 4
2026-06-05T10:57:00Z,3048,Versa 4
2026-06-05T11:02:00Z,3048,Versa 4
2026-06-05T12:36:00Z,3048,Versa 4
2026-06-05T12:49:00Z,3048,Versa 4
2026-06-05T12:54:00Z,3048,Versa 4
2026-06-05T12:56:00Z,9144,Versa 4
2026-06-05T12:57:00Z,3048,Versa 4
2026-06-05T12:59:00Z,6096,Versa 4
2026-06-05T13:00:00Z,3048,Versa 4
2026-06-05T13:01:00Z,3048,Versa 4
2026-06-05T13:07:00Z,3048,Versa 4
2026-06-05T13:11:00Z,3048,Versa 4
2026-06-05T13:12:00Z,3048,Versa 4
2026-06-05T13:15:00Z,6096,Versa 4
2026-06-05T17:49:00Z,3048,Versa 4
2026-06-05T17:55:00Z,3048,Versa 4
2026-06-05T17:59:00Z,3048,Versa 4
