start time,end time,data source
2026-06-07T08:49:00Z,2026-06-07T10:03:00Z,Fitbit App
2026-06-07T11:22:00Z,2026-06-07T11:59:00Z,Fitbit App
2026-06-07T13:40:00Z,2026-06-07T14:00:00Z,Fitbit App
2026-06-07T14:32:00Z,2026-06-07T14:48:00Z,Fitbit App
2026-06-07T15:13:00Z,2026-06-07T16:27:00Z,Fitbit App
2026-06-07T16:33:00Z,2026-06-07T17:00:00Z,Fitbit App
2026-06-07T17:04:00Z,2026-06-07T18:01:00Z,Fitbit App
2026-06-07T18:06:00Z,2026-06-07T18:28:00Z,Fitbit App
2026-06-07T18:29:00Z,2026-06-07T18:43:00Z,Fitbit App
2026-06-07T19:53:00Z,2026-06-07T20:11:00Z,Fitbit App
2026-06-07T20:49:00Z,2026-06-07T22:00:00Z,Fitbit App
2026-06-07T22:00:00Z,2026-06-07T23:18:00Z,Fitbit App
2026-06-07T23:24:00Z,2026-06-07T23:37:00Z,Fitbit App
