timestamp,heart rate zone,total minutes,data source
2026-06-06T12:49:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:39:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:41:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:42:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:47:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:48:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:49:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:50:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:51:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:53:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:54:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:55:00Z,FAT_BURN,1,Versa 4
2026-06-06T14:56:00Z,FAT_BURN,1,Versa 4
2026-06-06T15:36:00Z,FAT_BURN,1,Versa 4
2026-06-07T12:14:00Z,FAT_BURN,1,Versa 4
