start time,end time,data source
2026-05-30T07:08:00Z,2026-05-30T07:56:00Z,Fitbit App
2026-05-30T07:58:00Z,2026-05-30T08:09:00Z,Fitbit App
2026-05-30T08:12:00Z,2026-05-30T08:55:00Z,Fitbit App
2026-05-30T08:57:00Z,2026-05-30T09:14:00Z,Fitbit App
2026-05-30T10:51:00Z,2026-05-30T11:04:00Z,Fitbit App
2026-05-30T11:08:00Z,2026-05-30T11:22:00Z,Fitbit App
2026-05-30T11:25:00Z,2026-05-30T11:46:00Z,Fitbit App
2026-05-30T11:53:00Z,2026-05-30T12:04:00Z,Fitbit App
2026-05-30T12:09:00Z,2026-05-30T12:36:00Z,Fitbit App
2026-05-30T12:37:00Z,2026-05-30T13:29:00Z,Fitbit App
2026-05-30T13:38:00Z,2026-05-30T14:35:00Z,Fitbit App
2026-05-30T14:52:00Z,2026-05-30T15:17:00Z,Fitbit App
2026-05-30T16:29:00Z,2026-05-30T17:31:00Z,Fitbit App
2026-05-30T17:51:00Z,2026-05-30T19:31:00Z,Fitbit App
2026-05-30T20:02:00Z,2026-05-30T20:14:00Z,Fitbit App
2026-05-30T20:20:00Z,2026-05-30T20:39:00Z,Fitbit App
2026-05-30T20:49:00Z,2026-05-30T21:44:00Z,Fitbit App
2026-05-30T22:10:00Z,2026-05-30T23:26:00Z,Fitbit App
2026-05-30T23:28:00Z,2026-05-31T00:33:00Z,Fitbit App
