start time,end time,data source
2026-05-15T07:16:00Z,2026-05-15T07:27:00Z,Fitbit App
2026-05-15T08:17:00Z,2026-05-15T08:28:00Z,Fitbit App
2026-05-15T08:29:00Z,2026-05-15T09:38:00Z,Fitbit App
2026-05-15T09:47:00Z,2026-05-15T10:01:00Z,Fitbit App
2026-05-15T10:02:00Z,2026-05-15T10:45:00Z,Fitbit App
2026-05-15T10:47:00Z,2026-05-15T11:12:00Z,Fitbit App
2026-05-15T11:42:00Z,2026-05-15T12:02:00Z,Fitbit App
2026-05-15T12:32:00Z,2026-05-15T13:13:00Z,Fitbit App
2026-05-15T13:14:00Z,2026-05-15T13:41:00Z,Fitbit App
2026-05-15T13:45:00Z,2026-05-15T13:56:00Z,Fitbit App
2026-05-15T13:57:00Z,2026-05-15T14:32:00Z,Fitbit App
2026-05-15T14:42:00Z,2026-05-15T16:44:00Z,Fitbit App
2026-05-15T16:48:00Z,2026-05-15T17:00:00Z,Fitbit App
2026-05-15T17:02:00Z,2026-05-15T17:19:00Z,Fitbit App
2026-05-15T17:41:00Z,2026-05-15T19:28:00Z,Fitbit App
