timestamp,min observed load,max observed load,data source
2026-05-07,0.0,50.0,Fitbit App
2026-05-08,0.0,62.59647289427821,Fitbit App
2026-05-09,0.0,62.59647289427821,Fitbit App
2026-05-10,0.0,146.79274671965294,Fitbit App
2026-05-11,0.0,146.79274671965294,Fitbit App
2026-05-12,0.0,146.79274671965294,Fitbit App
2026-05-13,0.0,146.79274671965294,Fitbit App
2026-05-14,0.0,146.79274671965294,Fitbit App
2026-05-15,4.2280803420353985,97.93004598722416,Fitbit App
2026-05-16,2.4262265999729,97.93004598722416,Fitbit App
2026-05-17,2.4262265999729,97.93004598722416,Fitbit App
2026-05-18,2.4262265999729,97.93004598722416,Fitbit App
2026-05-19,2.4262265999729,116.97704541749715,Fitbit App
