start time,end time,data source
2026-05-12T06:26:00Z,2026-05-12T06:47:00Z,Fitbit App
2026-05-12T06:52:00Z,2026-05-12T07:05:00Z,Fitbit App
2026-05-12T07:13:00Z,2026-05-12T07:28:00Z,Fitbit App
2026-05-12T07:32:00Z,2026-05-12T08:39:00Z,Fitbit App
2026-05-12T08:51:00Z,2026-05-12T09:03:00Z,Fitbit App
2026-05-12T11:32:00Z,2026-05-12T12:11:00Z,Fitbit App
2026-05-12T12:26:00Z,2026-05-12T12:40:00Z,Fitbit App
2026-05-12T13:09:00Z,2026-05-12T13:24:00Z,Fitbit App
2026-05-12T13:27:00Z,2026-05-12T16:38:00Z,Fitbit App
2026-05-12T16:51:00Z,2026-05-12T18:21:00Z,Fitbit App
2026-05-12T18:24:00Z,2026-05-12T18:37:00Z,Fitbit App
2026-05-12T19:02:00Z,2026-05-12T19:13:00Z,Fitbit App
2026-05-12T19:14:00Z,2026-05-12T19:43:00Z,Fitbit App
2026-05-12T19:45:00Z,2026-05-12T19:58:00Z,Fitbit App
2026-05-12T21:00:00Z,2026-05-12T21:38:00Z,Fitbit App
2026-05-12T21:39:00Z,2026-05-12T22:00:00Z,Fitbit App
2026-05-12T22:10:00Z,2026-05-12T23:07:00Z,Fitbit App
2026-05-12T23:08:00Z,2026-05-12T23:19:00Z,Fitbit App
