start time,end time,data source
2026-05-10T07:36:00Z,2026-05-10T08:04:00Z,Fitbit App
2026-05-10T09:15:00Z,2026-05-10T10:09:00Z,Fitbit App
2026-05-10T10:15:00Z,2026-05-10T10:36:00Z,Fitbit App
2026-05-10T10:38:00Z,2026-05-10T11:06:00Z,Fitbit App
2026-05-10T15:04:00Z,2026-05-10T15:23:00Z,Fitbit App
2026-05-10T16:03:00Z,2026-05-10T17:13:00Z,Fitbit App
2026-05-10T17:17:00Z,2026-05-10T17:58:00Z,Fitbit App
2026-05-10T18:52:00Z,2026-05-10T19:57:00Z,Fitbit App
2026-05-10T20:06:00Z,2026-05-10T21:09:00Z,Fitbit App
