timestamp,bucket_values
2026-05-07T07:48:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.002, 0.002, 0.003, 0.007, 0.017, 0.032, 0.046, 0.062, 0.138, 0.289, 0.252, 0.103, 0.031, 0.009, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2026-05-09T08:18:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.002, 0.002, 0.001, 0.001, 0.002, 0.006, 0.014, 0.039, 0.061, 0.107, 0.189, 0.291, 0.182, 0.075, 0.02, 0.005, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-10T07:49:00,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.007, 0.013, 0.03, 0.081, 0.228, 0.211, 0.183, 0.155, 0.065, 0.015, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]"
2026-05-11T10:08:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.003, 0.004, 0.006, 0.021, 0.053, 0.128, 0.237, 0.247, 0.169, 0.083, 0.03, 0.01, 0.003, 0.001, 0.001, 0.0, 0.0, 0.0, 0.0]"
2026-05-12T08:36:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.0, 0.0, 0.001, 0.001, 0.001, 0.002, 0.003, 0.005, 0.012, 0.029, 0.085, 0.227, 0.281, 0.205, 0.102, 0.032, 0.009, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-13T08:37:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.003, 0.01, 0.035, 0.068, 0.157, 0.288, 0.213, 0.137, 0.054, 0.023, 0.006, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2026-05-14T10:10:30,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.001, 0.001, 0.002, 0.002, 0.002, 0.006, 0.02, 0.028, 0.078, 0.213, 0.328, 0.228, 0.074, 0.014, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
