feature,remaining_days,calibration_start_date,latest_completion_date,latest_update_date
FEATURE_TYPE_CARDIO_LOAD,0,2026-05-06,2026-05-13,2026-05-15
FEATURE_TYPE_READINESS,0,2026-05-06,2026-05-12,2026-05-13
