type,frequency,target,result,status,is_primary,start_date,end_date,created_on,edited_on
CALORIES_BURNED_GOAL,DAILY,2535.0,874.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-12,2026-05-13,2026-05-06T09:38:18.000+00:00,null
STEPS_GOAL,DAILY,10000.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-12,2026-05-13,2026-05-06T09:38:18.000+00:00,null
FLOORS_CLIMBED_GOAL,DAILY,10.0,3.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-10,2026-05-11,2026-05-06T09:38:18.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,DAILY,5.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-12,2026-05-13,2026-05-06T09:38:18.000+00:00,null
ACTIVE_MINUTES_GOAL,DAILY,30.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-12,2026-05-13,2026-05-06T09:38:18.000+00:00,null
STEPS_GOAL,WEEKLY,70000.0,7133.0,INPROGRESS_SO_FAR_MISSED,true,2026-05-09,2026-05-16,2026-05-06T09:38:18.000+00:00,null
DISTANCE_FROM_STEPS_GOAL,WEEKLY,35.0,3.19947,INPROGRESS_SO_FAR_MISSED,false,2026-05-09,2026-05-16,2026-05-06T09:38:18.000+00:00,null
FLOORS_CLIMBED_GOAL,WEEKLY,70.0,5.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-09,2026-05-16,2026-05-06T09:38:18.000+00:00,null
CALORIES_BURNED_GOAL,WEEKLY,17745.0,6703.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-09,2026-05-16,2026-05-06T09:38:18.000+00:00,null
WATER_GOAL,DAILY,1893.0,0.0,INPROGRESS_SO_FAR_MISSED,false,2026-05-02,2026-05-09,2026-05-06T09:38:18.000+00:00,null
