date,average_heart_rate,min_heart_rate,max_heart_rate,start,end,rem_sleep_minutes,deep_sleep_minutes,sleep_score,sleep_duration_hours,corrected_sleep_score,calories_burned,total_steps,phone_last_used,last_food_time,last_food
2026-05-06,73.79,54.0,134.0,,,0.0,41.0,,,,0,3563,,,
2026-05-07,77.31,54.0,153.0,02:00,09:59,165.5,140.0,58,7.98,58.15,580.6,10879,00:00,21:00,Maatlijd - vol vet
2026-05-08,82.23,54.0,182.0,,,0.0,43.0,,,,566.15,8631,,,
2026-05-09,72.74,52.0,143.0,03:00,11:00,180.0,221.0,77,8.0,77.0,722.27,12482,02:00,23:00,Maaltijd - mager
2026-05-10,71.29,46.0,124.0,00:30,08:00,115.5,183.0,84,7.5,89.6,646.17,12804,00:30,21:30,Snack
2026-05-11,72.28,49.0,147.0,00:30,07:44,216.0,164.5,,7.23,,0,14484,23:00,20:00,Maaltijd - mager
2026-05-12,82.72,50.0,146.0,00:30,07:44,168.0,210.0,75,7.23,82.99,30.18,12394,21:59,23:00,Snack
2026-05-13,74.34,50.0,152.0,02:00,07:44,65.5,188.0,77,5.73,102.67,955.63,11791,02:00,23:00,Snack
2026-05-14,72.7,52.0,153.0,01:14,09:59,225.5,183.0,83,8.75,75.89,533.55,7359,00:14,21:00,Maaltijd - mager
