date,average_heart_rate,min_heart_rate,max_heart_rate,measurements,total_steps,sleep_score,calories_burned,start,end,phone_last_used,last_food_time,last_food
2026-05-06,73.79,54.0,134.0,19994,3563,,0,,,,,
2026-05-07,77.31,54.0,153.0,19171,10879,58,580.6,22:50,05:34,00:00,21:00,Maatlijd - vol vet
2026-05-08,82.23,54.0,182.0,17697,8631,,566.15,,,,,
2026-05-09,72.74,52.0,143.0,24176,12482,77,722.27,22:59,06:03,02:00,23:00,Maaltijd - mager
2026-05-10,71.29,46.0,124.0,22358,12804,84,646.17,22:08,05:49,00:30,21:30,Snack
2026-05-11,72.28,49.0,147.0,23484,14484,,0,23:02,08:08,23:00,20:00,Maaltijd - mager
2026-05-12,82.72,50.0,146.0,25930,12394,75,30.18,23:08,06:45,21:59,23:00,Snack
2026-05-13,74.34,50.0,152.0,24800,11791,77,955.63,23:13,06:47,02:00,23:00,Snack
2026-05-14,72.7,52.0,153.0,24162,7359,83,533.55,23:35,08:10,00:14,21:00,Maaltijd - mager
