type,sleep_start,sleep_end,temperature_samples,nightly_temperature,baseline_relative_sample_sum,baseline_relative_sample_sum_of_squares,baseline_relative_nightly_standard_deviation,baseline_relative_sample_standard_deviation
IDT,2026-05-07T00:48:30,2026-05-07T07:48:30,420,34.38547619047619,NaN,NaN,NaN,NaN
IDT,2026-05-08T23:59:30,2026-05-09T08:18:30,499,33.62885771543086,NaN,NaN,NaN,NaN
IDT,2026-05-10T00:08,2026-05-10T07:49,461,34.24056399132321,1.8189894035458565E-12,76.13145336252637,0.40159175585191714,0.4068207952941356
IDT,2026-05-11T01:02,2026-05-11T10:08:30,547,34.62577696526508,171.07801027786263,266.81236855708994,0.4250134427831536,0.5583245787099955
IDT,2026-05-12T01:09,2026-05-12T08:36:30,448,34.39107142857143,2.506666666668025,382.7383111109957,0.3759240180786022,0.6960800035437874
IDT,2026-05-13T00:40:30,2026-05-13T08:37:30,477,33.631865828092245,-324.9105833591566,758.9898682993371,0.42146889646874214,0.8731162432925248
IDT,2026-05-14T01:35,2026-05-14T10:10:30,516,33.659108527131785,-300.03101952277575,799.3018656510394,0.42724633784644617,0.9481637822850144
IDT,2026-05-15T01:35,2026-05-15T09:04:30,450,33.76844444444445,-106.22689804772381,626.1478085975396,0.41064098774020547,0.9834513903758613
IDT,2026-05-19T00:37:30,2026-05-19T09:30,532,34.01127819548873,-3.637978807091713E-12,602.6323308269493,0.38425063784231395,0.99885343989163
IDT,2026-05-20T00:39:30,2026-05-20T08:03:30,444,33.63513513513513,-113.09842606516395,1057.8210224738577,0.3840275207062985,1.0723075707693985
IDT,2026-05-21T01:31,2026-05-21T08:15,404,34.00767326732673,1.8189894035458565E-12,146.92621287121437,0.36433276105892254,1.038346110113305
IDT,2026-05-22T00:35:30,2026-05-22T07:53:30,429,33.02983682983683,-368.17724917491796,1192.4959133100929,0.44597007708776526,1.098578966514009
IDT,2026-05-23T01:07,2026-05-23T07:53:30,407,34.34791154791155,138.47698019802192,206.1908944589086,0.4433254457422329,1.0793412980295816
IDT,2026-05-24T00:45:30,2026-05-24T08:55:30,490,34.49530612244898,238.05689161021292,287.39447682281025,0.4500902881546576,1.0624098855088593
IDT,2026-05-25T01:34:30,2026-05-25T06:49:30,315,34.086666666666666,23.747368421049032,123.45427779969759,0.4344372224804594,1.0445519670113876
IDT,2026-05-26T00:28:30,2026-05-26T04:34:30,243,34.11893004115226,16.999699248119214,130.44218014215585,0.42082385868453653,1.0345216820169916
IDT,2026-05-27T00:58,2026-05-27T07:49:30,412,33.208737864077676,-330.6466165413567,721.9657889083028,0.4508062997142199,1.049543821834208
IDT,2026-05-28T02:20:30,2026-05-28T09:55,454,33.40330396475771,-275.2019820591104,558.864715703181,0.45641778225787916,1.0483455887233695
IDT,2026-05-29T00:33,2026-05-29T07:42,429,33.86060606060607,-63.091831683166674,109.44298187689856,0.44381542906298344,1.024341231854595
IDT,2026-05-30T00:26:30,2026-05-30T09:09,522,32.88505747126437,-547.6209045904616,1045.2627876333427,0.49037634657706475,1.042378865494334
IDT,2026-05-31T02:47,2026-05-31T10:33:30,467,34.09614561027837,41.316584158415935,330.0084371014964,0.48047645602422434,1.0346133790489562
IDT,2026-06-01T02:14:30,2026-06-01T10:14:30,480,33.18541666666666,-359.38703870387144,899.0592574756593,0.49184086431344,1.0478831807786282
