feature,remaining_days,calibration_start_date,latest_completion_date,latest_update_date
FEATURE_TYPE_CARDIO_LOAD,0,2026-05-07,2026-05-14,2026-05-19
FEATURE_TYPE_READINESS,0,2026-05-08,2026-05-14,2026-05-14
