value_time,setting_name,setting_value
2026-05-06 09:38:18+0000,glucose measurement unit,mmol l
2026-05-06 09:38:18+0000,height system,metric
2026-05-06 09:38:18+0000,water measurement unit,ml
2026-05-06 09:38:18+0000,weight system,metric
2026-05-06 09:55:55+0000,pool length,25
2026-05-06 09:55:55+0000,pool length measurement unit,meter
